
[SpecTaroscoPy — PES image]
Author	R Nakazawa
Contact	nakazawa@ims.ac.jp
Version	6.5.3
--- Info ---
User	
Load File Path	/Users/ryotaro/Documents/実験データ/SpecTaroscoPy/SpecTaroscoPy/examples/DA30/Si0006.txt
Save File Path	/Users/ryotaro/Documents/実験データ/SpecTaroscoPy/SpecTaroscoPy/examples/DA30/STPy_6_5_3_PESImage/Si0006_EDCs_Ek_Offset.txt
Total Actual Scans	10
X Label	Kinetic Energy (eV)
Y Label	$k_{\parallel} \ \mathrm{(\AA^{-1})}$
Z Label	Intensity (cps)
X Min	12.0
X Max	17.0
X Step	0.01
Ek Offset	0.0
Y Min	-0.730764
Y Max	0.498633
Y Step	0.001774
Ang or Posi Offset	-3.0
MCP Function Path	None
--- Axis Conversion ---
Photon Energy	None
Applied Voltage	0.0
kinetic Energy at Fermi Level	17.0
Secondary Electron Cutoff	None
--- EDCs Stacking ---
Y Slice Center	0.48269 0.4525755 0.4224605 0.3923455 0.3622305 0.3321155 0.302001 0.271886 0.241771 0.211656 0.181541 0.151426 0.121311 0.0911965 0.0610815 0.0309665 0.0008515 -0.0292635 -0.059378 -0.089493 -0.119608 -0.149723 -0.179838 -0.209953 -0.240068 -0.2701825 -0.3002975 -0.3304125 -0.3605275 -0.3906425 -0.420757 -0.450872 -0.480987 -0.511102 -0.541217 -0.571332 -0.601447 -0.6315615 -0.6616765 -0.6917915
Z Offset EDCs	0.0 -300.0 -600.0 -900.0 -1200.0 -1500.0 -1800.0 -2100.0 -2400.0 -2700.0 -3000.0 -3300.0 -3600.0 -3900.0 -4200.0 -4500.0 -4800.0 -5100.0 -5400.0 -5700.0 -6000.0 -6300.0 -6600.0 -6900.0 -7200.0 -7500.0 -7800.0 -8100.0 -8400.0 -8700.0 -9000.0 -9300.0 -9600.0 -9900.0 -10200.0 -10500.0 -10800.0 -11100.0 -11400.0 -11700.0
 
DATA:
Ek_Si0006_EDCs	Si0006_EDCs_0.483_Offseted	Si0006_EDCs_0.453_Offseted	Si0006_EDCs_0.422_Offseted	Si0006_EDCs_0.392_Offseted	Si0006_EDCs_0.362_Offseted	Si0006_EDCs_0.332_Offseted	Si0006_EDCs_0.302_Offseted	Si0006_EDCs_0.272_Offseted	Si0006_EDCs_0.242_Offseted	Si0006_EDCs_0.212_Offseted	Si0006_EDCs_0.182_Offseted	Si0006_EDCs_0.151_Offseted	Si0006_EDCs_0.121_Offseted	Si0006_EDCs_0.091_Offseted	Si0006_EDCs_0.061_Offseted	Si0006_EDCs_0.031_Offseted	Si0006_EDCs_0.001_Offseted	Si0006_EDCs_-0.029_Offseted	Si0006_EDCs_-0.059_Offseted	Si0006_EDCs_-0.089_Offseted	Si0006_EDCs_-0.12_Offseted	Si0006_EDCs_-0.15_Offseted	Si0006_EDCs_-0.18_Offseted	Si0006_EDCs_-0.21_Offseted	Si0006_EDCs_-0.24_Offseted	Si0006_EDCs_-0.27_Offseted	Si0006_EDCs_-0.3_Offseted	Si0006_EDCs_-0.33_Offseted	Si0006_EDCs_-0.361_Offseted	Si0006_EDCs_-0.391_Offseted	Si0006_EDCs_-0.421_Offseted	Si0006_EDCs_-0.451_Offseted	Si0006_EDCs_-0.481_Offseted	Si0006_EDCs_-0.511_Offseted	Si0006_EDCs_-0.541_Offseted	Si0006_EDCs_-0.571_Offseted	Si0006_EDCs_-0.601_Offseted	Si0006_EDCs_-0.632_Offseted	Si0006_EDCs_-0.662_Offseted	Si0006_EDCs_-0.692_Offseted
12.1	0.0	-300.0	-432.9268204072546	-539.1919926890512	-864.5969403874566	-1147.4023529082388	-1411.803241331896	-1748.5036992021996	-2048.4296783412974	-2374.40216737118	-2649.2732291754505	-2948.5070213694253	-3269.7052320803305	-3539.6768595039193	-3822.5485340011487	-4116.7156607056495	-4438.196862664645	-4746.708243787304	-5064.08059409248	-5358.477547130033	-5653.066701634332	-5989.780918909705	-6266.821381548966	-6558.791865800213	-6830.116039879691	-7151.543047502166	-7418.929201534925	-7713.23731812497	-8015.898294064744	-8333.410681965916	-8626.9500277625	-8867.766713963476	-9198.959409945113	-9516.712193752433	-9843.876252251135	-10369.809646270582	-10797.370843778464	-11100.0	-11400.0	-11700.0
12.11	0.0	-300.0	-423.9617195112047	-576.5573575258238	-862.3197768757943	-1174.8838571858184	-1406.8184485872318	-1745.9537456351009	-2001.481950502363	-2284.4106313652496	-2660.3521790383925	-2903.0516764128547	-3235.305743389234	-3546.662357487543	-3834.6058987119213	-4145.711323283652	-4450.674960085935	-4743.5224501401535	-5047.526255000398	-5376.830299813247	-5651.120702093776	-5975.475086455102	-6270.147025192985	-6538.507407289765	-6835.130606792882	-7145.265174083024	-7437.721707756032	-7766.225864079983	-8033.018805696402	-8340.44570522002	-8647.747711247872	-8904.3432773059	-9186.51446748697	-9509.121515135505	-9821.364254968557	-10366.826649150848	-10797.342514408123	-11100.0	-11400.0	-11700.0
12.12	0.0	-300.0	-423.31818308998277	-578.5337269089468	-864.5620063886029	-1162.080624326987	-1457.8247100664864	-1727.7172876387017	-2063.0075395470276	-2339.835226814898	-2604.764725085926	-2935.235120866696	-3221.8526351294995	-3531.2277206057997	-3843.202053694591	-4132.171201388914	-4440.791041527471	-4763.031643267515	-5071.093460442688	-5325.793965889833	-5633.427517471149	-5953.051578229791	-6253.828228257991	-6547.547317364157	-6866.037376512478	-7137.453656890926	-7442.314754436283	-7734.069476480352	-8087.336526301967	-8312.575715177458	-8622.798579355918	-8911.254334422136	-9210.708743590996	-9477.898528778074	-9811.42874252024	-10356.353718118737	-10796.95351184709	-11100.0	-11400.0	-11700.0
12.13	0.0	-300.0	-426.7335918049604	-576.931692871027	-865.3432665535265	-1148.6725793457042	-1465.0347435220806	-1762.1744523615116	-2071.3769943100433	-2344.436017012174	-2644.0321555273936	-2948.651529717792	-3247.67456159262	-3474.129224809144	-3838.611935965775	-4128.275547709007	-4421.69188970114	-4758.236486641115	-5057.875695013209	-5380.517576257929	-5630.134470709871	-5953.233287519275	-6247.249277709022	-6555.8629210076515	-6832.992629202756	-7132.0048485575635	-7434.981840492475	-7745.522912171319	-8042.133406736291	-8358.974703258562	-8598.510868729358	-8900.406702743505	-9161.350973795175	-9492.687918260948	-9796.076586641411	-10376.564538467244	-10791.181355730156	-11100.0	-11400.0	-11700.0
12.14	0.0	-300.0	-446.46914264215167	-551.8194419250241	-865.2594766139231	-1136.4894976425417	-1460.5197651757396	-1746.7416104425517	-2064.453683971327	-2343.928733961809	-2603.355434378887	-2953.277717382898	-3216.8324179917086	-3536.4253364770775	-3834.30946229995	-4121.232800389732	-4445.492747928626	-4737.880683749966	-5056.0550194891475	-5400.869524271044	-5693.1107307431	-5972.597836059811	-6229.948765760213	-6577.460420249286	-6838.874605339973	-7125.803825761926	-7419.58124762504	-7731.839717055009	-8037.094076671238	-8316.454109929222	-8628.580191787001	-8858.849726419421	-9176.849308099141	-9523.15608502448	-9850.094170148592	-10367.458327192799	-10794.149813081265	-11099.230843932037	-11400.0	-11700.0
12.15	0.0	-300.0	-425.5127031605532	-560.4280525241893	-858.2435453145342	-1148.4491404195378	-1447.6343416957457	-1761.0539513874548	-2020.7826169841067	-2334.760042647599	-2647.884308344647	-2937.8047062958854	-3216.095583537674	-3547.4979624797425	-3823.5139918120785	-4125.944424027378	-4423.8207698865735	-4759.030728981476	-5068.257893416981	-5395.160077126401	-5653.807518621253	-5955.836663772376	-6263.7600718694775	-6520.0462130744945	-6792.1102336578015	-7127.152922414166	-7440.323705070649	-7744.924731041218	-8054.251186409603	-8345.423812508665	-8611.602310217047	-8884.409537130958	-9164.585653523107	-9517.965323767556	-9836.974852233732	-10368.49225755375	-10796.242542123315	-11100.0	-11400.0	-11700.0
12.16	0.0	-300.0	-433.2306724947345	-573.1445573077864	-873.7710608198172	-1174.2172101441597	-1444.527497383765	-1737.2095453660497	-2032.0091856526951	-2335.1461698081434	-2615.87028181483	-2950.2387234043726	-3245.688861145888	-3536.3197144094215	-3802.922036420695	-4154.079122507795	-4428.55241353031	-4737.179997616036	-5064.122699294111	-5354.772667888733	-5664.128287579827	-5977.956480236877	-6268.750262121725	-6532.326969667262	-6834.510410061236	-7106.78197857743	-7452.5070512326965	-7727.39950762037	-8024.52782922388	-8310.304863905458	-8610.515054772313	-8883.08621879533	-9192.503652409563	-9495.044828738673	-9812.073514709631	-10340.88563843205	-10796.075116855924	-11099.588393496073	-11400.0	-11700.0
12.17	0.0	-300.0	-417.8594720442568	-569.6868149445784	-889.3102053709501	-1150.1107644357992	-1437.635656645234	-1743.7427347206312	-2050.3753845544525	-2327.383819126804	-2653.356056126727	-2949.8275469325154	-3239.6631977352517	-3544.675059752813	-3809.7584030108646	-4125.780018728719	-4449.23101031671	-4751.168500468027	-5050.657234169094	-5336.827915509569	-5672.177900355118	-5985.442899768705	-6274.760790821694	-6537.806067208517	-6858.608631370671	-7149.269148468191	-7436.597896367315	-7734.6964855467595	-8010.525306270329	-8328.344267260134	-8594.595373812406	-8856.024667984435	-9169.092223558251	-9482.430294933141	-9804.730546955487	-10366.834965253329	-10788.628647712749	-11099.454384258235	-11400.0	-11700.0
12.18	0.0	-300.0	-427.71379927875284	-557.6350920737893	-882.7372369827444	-1173.1722004302635	-1446.1330239484264	-1731.9289428199615	-2044.4428166221019	-2303.3963253288302	-2632.0144209804926	-2935.4428379233395	-3212.635863249055	-3516.3203856064656	-3836.34216594443	-4154.569797473861	-4424.949539004254	-4728.5274009896975	-5031.126936392199	-5334.295701426096	-5684.313263884065	-5963.117129942111	-6239.353738382993	-6547.959975033111	-6858.699377698196	-7153.18312598806	-7448.593956093814	-7710.264687981137	-8042.702917914453	-8335.462845106827	-8579.58973173628	-8867.55433910644	-9202.383602122163	-9470.481667824812	-9834.120153104672	-10337.10124612378	-10796.08201671441	-11099.962916731714	-11400.0	-11700.0
12.19	0.0	-300.0	-443.211426982394	-568.2218795802629	-857.342032086464	-1172.3226816536094	-1434.1269404732836	-1717.0588345559263	-2062.535673211007	-2314.247829243827	-2638.483289795982	-2912.681680908941	-3208.7511219866506	-3570.148613205237	-3831.46554473124	-4108.46165714133	-4425.39814029996	-4732.583487053867	-5043.298095499558	-5363.5294669520845	-5608.748673593147	-5947.306406160746	-6255.921873176117	-6564.875121683167	-6840.601865061072	-7154.519482460596	-7420.507633938947	-7696.556237038836	-8039.914199600187	-8333.575368968139	-8602.132573211025	-8879.274839371406	-9155.301727320188	-9479.55808715116	-9826.306910800677	-10364.006673467147	-10795.20301114297	-11100.0	-11400.0	-11700.0
12.2	0.0	-300.0	-439.6523968824821	-563.0426222325868	-860.6403202166923	-1161.1490834985464	-1428.9461259375344	-1732.914953189378	-2039.095157915121	-2363.75287954972	-2644.349963204888	-2908.409256919606	-3268.774497119961	-3526.407542900784	-3831.4365194726215	-4133.234501031922	-4477.137189050004	-4758.423518967338	-5048.23630664085	-5360.172644187083	-5650.551349573996	-5951.373941515051	-6233.043606758326	-6552.15761056778	-6840.014880100956	-7145.881206242829	-7422.704640202337	-7679.655638883475	-8021.076725342582	-8338.0557016258	-8590.820878268909	-8922.387213976712	-9209.72300647684	-9481.526831712312	-9792.480397211602	-10357.997218688317	-10796.40745681976	-11099.987149000917	-11400.0	-11700.0
12.21	0.0	-300.0	-396.05305389908443	-533.7528059895346	-865.1510826874917	-1175.3143610226857	-1438.5857373033894	-1718.7958261126764	-2041.222304344451	-2336.515139636683	-2669.2719996966243	-2943.4396228139026	-3250.454367384466	-3522.862822508379	-3825.725834717707	-4150.023797751386	-4421.803536178534	-4758.869523037671	-5048.361416339927	-5354.301367925347	-5639.339030813067	-5965.116676008953	-6250.238322732089	-6567.533051726102	-6876.845699578717	-7183.8767154490115	-7443.200330937106	-7734.360933510683	-7979.8461806558935	-8338.054142426949	-8635.246596543391	-8874.85661977583	-9209.357196443976	-9478.60877856706	-9843.556448828813	-10329.50542160188	-10788.537999253986	-11098.800243195114	-11400.0	-11700.0
12.22	0.0	-300.0	-429.54457513962546	-554.334725726042	-845.011167424066	-1160.5191068718373	-1410.9660062223302	-1704.8477174473792	-2051.616133841165	-2375.6567350721234	-2691.1255825350026	-2974.1191284333286	-3244.7908096933966	-3532.5301089540153	-3816.427081668336	-4158.9605423925195	-4452.558574231169	-4734.58047552867	-5073.595062508129	-5332.264871371577	-5668.2615373228045	-5971.500659094782	-6245.572804304355	-6564.056536519558	-6819.824276044297	-7121.876725581673	-7432.01141699107	-7735.758249202566	-8046.972975071184	-8312.756510900777	-8575.369789896771	-8845.592700586276	-9189.157433614566	-9486.258431884971	-9829.960983971863	-10354.633782897163	-10788.632031875592	-11098.597521158335	-11400.0	-11700.0
12.23	0.0	-300.0	-419.6515839315121	-562.6951231515043	-837.0315619715554	-1147.592038067973	-1406.3798549289577	-1745.9352662410654	-2018.2921488223642	-2353.469313718322	-2668.275954537616	-2938.403133758106	-3268.2691931492604	-3524.6554185269333	-3820.437915016399	-4132.588843847045	-4429.384368337669	-4735.309376256299	-5031.39058395022	-5353.819920973697	-5702.415734154488	-5964.482581953182	-6297.5682592876465	-6554.794180129751	-6853.5737227273985	-7152.355501963257	-7433.690555011893	-7730.874685031061	-8042.967568768515	-8355.539031625232	-8553.092709009914	-8873.845703246701	-9154.397071669779	-9516.511102767887	-9816.4562956625	-10340.755962846773	-10793.038478694021	-11100.0	-11400.0	-11700.0
12.24	0.0	-300.0	-418.58723727661754	-566.1641440607932	-854.444867724435	-1134.3787126616635	-1421.7563853480506	-1732.4371629550478	-2015.808978250076	-2338.718612925263	-2618.8203700528875	-2920.4859446299015	-3219.412106486549	-3530.46223624784	-3783.4783751818577	-4148.999825514091	-4456.314834687301	-4772.799279595282	-5075.362094232304	-5369.971721133648	-5637.405418759644	-5951.786493968523	-6299.072601980167	-6550.990328062129	-6845.082726250024	-7144.317679155992	-7421.259406364781	-7730.566232232397	-8040.873671549725	-8330.3001874458	-8580.582375682421	-8891.755096984154	-9183.576154435865	-9480.544857309476	-9799.182618195253	-10331.207293220654	-10788.256148495646	-11099.768241597627	-11400.0	-11700.0
12.25	0.0	-300.0	-399.45617761679944	-566.0057842193604	-845.605958142876	-1143.9566563728226	-1444.327536353077	-1727.936431348737	-2030.8316420174742	-2329.143926339947	-2646.854086254842	-2924.350200704876	-3223.798693183802	-3534.2109697537758	-3839.5811120451935	-4142.65708624523	-4401.718870407213	-4742.623036123582	-5069.328233273317	-5364.256694693997	-5633.895121181163	-5947.948049764837	-6254.511832503583	-6548.1038351113575	-6851.638742621281	-7135.684784231646	-7435.2703043859	-7725.169972009205	-8040.748788240627	-8329.710810228064	-8601.723617838838	-8888.028293129892	-9200.110779432083	-9472.102429788145	-9790.941725881963	-10308.7910234425	-10782.402579471323	-11098.908692665289	-11400.0	-11700.0
12.26	0.0	-300.0	-405.2488707095931	-556.4780806445933	-860.6443267784618	-1127.362005651296	-1444.6913959846206	-1745.7505705928725	-2061.995965772811	-2331.9648058300354	-2632.8939612840886	-2941.7803110202112	-3264.614836992526	-3515.7277351007506	-3810.16391341762	-4158.484684300373	-4427.3021929367205	-4764.9778881997845	-5086.791266069771	-5361.2924152399255	-5644.606839451142	-5962.400963540532	-6257.984782060426	-6570.959094843024	-6822.77766974653	-7121.59990655839	-7428.047788653487	-7734.260719914606	-8021.748548444493	-8330.210558745823	-8610.542766154806	-8861.568093077378	-9224.198155332644	-9460.475599331367	-9795.977256163225	-10322.750824942266	-10788.311898937964	-11099.23217819851	-11400.0	-11700.0
12.27	0.0	-300.0	-398.34610205399764	-553.8279581142788	-853.8798386749695	-1151.2277935964726	-1419.7944110942594	-1729.5926299155128	-2038.6072759727028	-2309.3031962388995	-2625.857786436597	-2943.6779665489316	-3190.6889474674745	-3547.5822020572086	-3838.1208228278597	-4089.5931687601305	-4415.851812614967	-4745.06113417723	-5072.507467967384	-5376.981524532717	-5631.559933618067	-5947.450110532969	-6258.300926949915	-6548.39188918152	-6837.844984841456	-7123.602724502458	-7446.375165801931	-7730.865078248831	-8062.689724703781	-8315.585716445556	-8601.69488022684	-8847.826228678518	-9179.533556449554	-9469.276706552359	-9837.212874921735	-10333.46274091693	-10794.343545331227	-11099.980959149843	-11400.0	-11700.0
12.28	0.0	-300.0	-407.8422050485152	-588.1909393584208	-861.7636111819982	-1149.222026262439	-1430.9499741065474	-1703.9447031389002	-1996.5542428668239	-2365.6902392175507	-2640.832436562274	-2926.794915733793	-3214.4532664536637	-3482.7686438622577	-3829.7312868130175	-4128.120777131766	-4413.9659188970145	-4771.7376898515195	-5029.960398736216	-5316.579057701235	-5701.494415162478	-5969.344387425455	-6290.085266103575	-6569.371533032048	-6789.462526907228	-7108.304114552872	-7424.895018772941	-7719.643696205551	-8035.825547513092	-8325.368860311395	-8557.25209095759	-8869.598761225736	-9199.853917319153	-9502.37841659083	-9818.347779819152	-10336.580183567903	-10788.696619638544	-11099.746782516657	-11400.0	-11700.0
