
[SpecTaroscoPy — PES image]
Author	R Nakazawa
Contact	nakazawa@ims.ac.jp
Version	6.5.3
--- Info ---
User	
Load File Path	/Users/ryotaro/Documents/実験データ/SpecTaroscoPy/SpecTaroscoPy/examples/DA30/Si0006.txt
Save File Path	/Users/ryotaro/Documents/実験データ/SpecTaroscoPy/SpecTaroscoPy/examples/DA30/STPy_6_5_3_PESImage/Si0006_EDCs_Ek.txt
Total Actual Scans	10
X Label	Kinetic Energy (eV)
Y Label	$k_{\parallel} \ \mathrm{(\AA^{-1})}$
Z Label	Intensity (cps)
X Min	12.0
X Max	17.0
X Step	0.01
Ek Offset	0.0
Y Min	-0.730764
Y Max	0.498633
Y Step	0.001774
Ang or Posi Offset	-3.0
MCP Function Path	None
--- Axis Conversion ---
Photon Energy	None
Applied Voltage	0.0
kinetic Energy at Fermi Level	17.0
Secondary Electron Cutoff	None
--- EDCs Stacking ---
Y Slice Center	0.48269 0.4525755 0.4224605 0.3923455 0.3622305 0.3321155 0.302001 0.271886 0.241771 0.211656 0.181541 0.151426 0.121311 0.0911965 0.0610815 0.0309665 0.0008515 -0.0292635 -0.059378 -0.089493 -0.119608 -0.149723 -0.179838 -0.209953 -0.240068 -0.2701825 -0.3002975 -0.3304125 -0.3605275 -0.3906425 -0.420757 -0.450872 -0.480987 -0.511102 -0.541217 -0.571332 -0.601447 -0.6315615 -0.6616765 -0.6917915
Z Offset EDCs	0.0 -400.0 -800.0 -1200.0 -1600.0 -2000.0 -2400.0 -2800.0 -3200.0 -3600.0 -4000.0 -4400.0 -4800.0 -5200.0 -5600.0 -6000.0 -6400.0 -6800.0 -7200.0 -7600.0 -8000.0 -8400.0 -8800.0 -9200.0 -9600.0 -10000.0 -10400.0 -10800.0 -11200.0 -11600.0 -12000.0 -12400.0 -12800.0 -13200.0 -13600.0 -14000.0 -14400.0 -14800.0 -15200.0 -15600.0
 
DATA:
Ek_Si0006_EDCs	Si0006_EDCs_0.483	Si0006_EDCs_0.453	Si0006_EDCs_0.422	Si0006_EDCs_0.392	Si0006_EDCs_0.362	Si0006_EDCs_0.332	Si0006_EDCs_0.302	Si0006_EDCs_0.272	Si0006_EDCs_0.242	Si0006_EDCs_0.212	Si0006_EDCs_0.182	Si0006_EDCs_0.151	Si0006_EDCs_0.121	Si0006_EDCs_0.091	Si0006_EDCs_0.061	Si0006_EDCs_0.031	Si0006_EDCs_0.001	Si0006_EDCs_-0.029	Si0006_EDCs_-0.059	Si0006_EDCs_-0.089	Si0006_EDCs_-0.12	Si0006_EDCs_-0.15	Si0006_EDCs_-0.18	Si0006_EDCs_-0.21	Si0006_EDCs_-0.24	Si0006_EDCs_-0.27	Si0006_EDCs_-0.3	Si0006_EDCs_-0.33	Si0006_EDCs_-0.361	Si0006_EDCs_-0.391	Si0006_EDCs_-0.421	Si0006_EDCs_-0.451	Si0006_EDCs_-0.481	Si0006_EDCs_-0.511	Si0006_EDCs_-0.541	Si0006_EDCs_-0.571	Si0006_EDCs_-0.601	Si0006_EDCs_-0.632	Si0006_EDCs_-0.662	Si0006_EDCs_-0.692
12.1	0.0	0.0	167.07317959274545	360.80800731094877	335.4030596125434	352.59764709176136	388.19675866810405	351.49630079780025	351.57032165870277	325.59783262881996	350.7267708245496	351.49297863057467	330.29476791966965	360.32314049608067	377.45146599885123	383.2843392943503	361.80313733535485	353.2917562126957	335.9194059075201	341.52245286996754	346.9332983656675	310.2190810902946	333.1786184510337	341.20813419978685	369.88396012030927	348.4569524978339	381.0707984650754	386.7626818750297	384.1017059352564	366.5893180340848	373.0499722375001	432.2332860365244	401.04059005488597	383.28780624756695	356.12374774886456	130.19035372941832	2.6291562215354976	0.0	0.0	0.0
12.11	0.0	0.0	176.03828048879527	323.4426424741762	337.6802231242057	325.1161428141815	393.1815514127681	354.0462543648992	398.5180494976371	415.58936863475026	339.64782096160764	396.9483235871453	364.6942566107658	353.33764251245697	365.3941012880785	354.28867671634777	349.3250399140654	356.477549859846	352.47374499960205	323.169700186753	348.8792979062234	324.5249135448971	329.8529748070151	361.4925927102346	364.869393207118	354.7348259169755	362.2782922439683	333.7741359200175	366.9811943035984	359.5542947799796	352.25228875212883	395.65672269410004	413.48553251303053	390.8784848644963	378.6357450314424	133.17335084915325	2.657485591877056	0.0	0.0	0.0
12.12	0.0	0.0	176.68181691001726	321.4662730910531	335.4379936113972	337.919375673013	342.17528993351357	372.2827123612982	336.99246045297224	360.16477318510226	395.23527491407395	364.76487913330413	378.14736487050027	368.77227939420044	356.79794630540874	367.82879861108654	359.20895847252916	336.9683567324846	328.9065395573115	374.20603411016657	366.5724825288503	346.94842177020934	346.17177174200924	352.4526826358431	333.96262348752225	362.5463431090742	357.685245563717	365.9305235196479	312.66347369803304	387.4242848225417	377.20142064408213	388.74566557786454	389.2912564090043	422.10147122192507	388.5712574797606	143.64628188126366	3.0464881529096868	0.0	0.0	0.0
12.13	0.0	0.0	173.26640819503962	323.0683071289729	334.6567334464735	351.32742065429574	334.96525647791935	337.8255476384883	328.6230056899569	355.5639829878259	355.96784447260626	351.3484702822081	352.32543840737964	425.87077519085614	361.3880640342251	371.72445229099355	378.30811029885984	341.76351335888484	342.1243049867906	319.4824237420706	369.8655292901296	346.76671248072495	352.7507222909782	344.13707899234873	367.0073707972446	367.99515144243657	365.018159507525	354.47708782868074	357.8665932637088	341.02529674143756	401.4891312706417	399.59329725649485	438.6490262048239	407.31208173905145	403.92341335858845	123.4354615327553	8.818644269844528	0.0	0.0	0.0
12.14	0.0	0.0	153.53085735784833	348.1805580749759	334.7405233860769	363.51050235745845	339.4802348242604	353.2583895574482	335.54631602867295	356.07126603819114	396.64456562111314	346.72228261710205	383.16758200829133	363.5746635229227	365.6905377000497	378.76719961026805	354.50725207137356	362.1193162500342	343.9449805108521	299.1304757289559	306.88926925689975	327.4021639401889	370.0512342397872	322.5395797507142	361.1253946600273	374.1961742380731	380.41875237496	368.1602829449913	362.90592332876145	383.5458900707784	371.41980821299927	441.1502735805785	423.1506919008593	376.843914975519	349.9058298514078	132.54167280720068	5.850186918735308	0.7691560679624381	0.0	0.0
12.15	0.0	0.0	174.4872968394468	339.5719474758107	341.7564546854658	351.55085958046215	352.3656583042542	338.94604861254516	379.2173830158933	365.2399573524007	352.1156916553531	362.19529370411453	383.904416462326	352.5020375202573	376.4860081879214	374.05557597262236	376.17923011342646	340.96927101852395	331.74210658301973	304.8399228735992	346.19248137874695	344.1633362276243	336.23992813052257	379.9537869255053	407.8897663421985	372.84707758583403	359.67629492935095	355.0752689587819	345.7488135903969	354.57618749133496	388.3976897829531	415.59046286904294	435.41434647689266	382.0346762324449	363.02514776626833	131.50774244624978	3.757457876685683	0.0	0.0	0.0
12.16	0.0	0.0	166.7693275052655	326.8554426922136	326.22893918018286	325.78278985584024	355.4725026162351	362.7904546339503	367.99081434730493	364.8538301918564	384.1297181851701	349.76127659562735	354.31113885411213	363.68028559057865	397.0779635793051	345.92087749220553	371.44758646969	362.82000238396347	335.877300705889	345.2273321112669	335.87171242017337	322.0435197631231	331.2497378782749	367.6730303327379	365.48958993876425	393.21802142257013	347.49294876730306	372.60049237962977	375.4721707761201	389.6951360945414	389.48494522768624	416.9137812046699	407.4963475904367	404.95517126132637	387.92648529036796	159.11436156794954	3.924883144076776	0.41160650392707215	0.0	0.0
12.17	0.0	0.0	182.14052795574318	330.3131850554217	310.6897946290498	349.88923556420076	362.36434335476605	356.2572652793687	349.62461544554765	372.6161808731959	346.6439438732732	350.1724530674848	360.3368022647481	355.3249402471871	390.24159698913513	374.2199812712811	350.76898968328993	348.83149953197335	349.34276583090536	363.1720844904311	327.822099644882	314.55710023129507	325.23920917830606	362.19393279148346	341.39136862932935	350.7308515318093	363.4021036326853	365.30351445324067	389.4746937296712	371.65573273986666	405.40462618759364	443.975332015566	430.90777644174796	417.56970506685866	395.2694530445132	133.16503474667138	11.371352287251069	0.5456157417651735	0.0	0.0
12.18	0.0	0.0	172.28620072124716	342.36490792621066	317.26276301725557	326.8277995697365	353.86697605157354	368.0710571800384	355.55718337789824	396.60367467117	367.98557901950755	364.5571620766603	387.36413675094485	383.6796143935344	363.6578340555701	345.4302025261386	375.05046099574645	371.47259901030213	368.8730636078009	365.7042985739048	315.6867361159351	336.88287005788897	360.64626161700704	352.040024966889	341.3006223018037	346.81687401194006	351.4060439061857	389.7353120188624	357.29708208554683	364.53715489317216	420.4102682637202	432.4456608935594	397.616397877837	429.5183321751888	365.8798468953279	162.89875387621856	3.917983285589041	0.037083268285342405	0.0	0.0
12.19	0.0	0.0	156.78857301760598	331.7781204197371	342.657967913536	327.67731834639073	365.87305952671636	382.9411654440736	337.464326788993	385.75217075617314	361.51671020401807	387.31831909105887	391.24887801334955	329.8513867947629	368.53445526876015	391.5383428586702	374.6018597000406	367.4165129461325	356.70190450044186	336.4705330479151	391.2513264068534	352.6935938392542	344.0781268238834	335.12487831683313	359.3981349389278	345.48051753940376	379.49236606105336	403.44376296116354	360.08580039981297	366.42463103186157	397.86742678897514	420.725160628593	444.6982726798122	420.441912848841	373.69308919932377	135.99332653285362	4.7969888570300885	-1.514272580366049e-17	0.0	0.0
12.2	0.0	0.0	160.3476031175179	336.9573777674132	339.3596797833077	338.85091650145364	371.0538740624656	367.0850468106221	360.90484208487896	336.24712045028	355.6500367951123	391.59074308039413	331.2255028800389	373.592457099216	368.5634805273787	366.7654989680773	322.8628109499961	341.5764810326617	351.76369335915024	339.82735581291706	349.4486504260042	348.6260584849491	366.9563932416742	347.8423894322203	359.9851198990434	354.11879375717143	377.29535979766274	420.3443611165249	378.92327465741766	361.9442983741994	409.1791217310912	377.61278602328866	390.2769935231607	418.47316828768834	407.5196027883982	142.0027813116833	3.592543180240189	0.012850999083370025	0.0	0.0
12.21	0.0	0.0	203.94694610091557	366.2471940104653	334.8489173125084	324.6856389773143	361.4142626966106	381.2041738873237	358.7776956555489	363.48486036331695	330.7280003033758	356.5603771860973	349.54563261553403	377.1371774916209	374.274165282293	349.97620224861413	378.1964638214659	341.130476962329	351.6385836600731	345.69863207465283	360.6609691869327	334.8833239910471	349.7616772679116	332.4669482738982	323.15430042128236	316.12328455098816	356.79966906289417	365.6390664893174	420.1538193441067	361.94585757305174	364.7534034566092	425.14338022417047	390.64280355602295	421.3912214329389	356.44355117118783	170.49457839811964	11.462000746014052	1.1997568048863723	0.0	0.0
12.22	0.0	0.0	170.45542486037454	345.665274273958	354.988832575934	339.4808931281627	389.0339937776698	395.1522825526209	348.3838661588353	324.3432649278766	308.87441746499735	325.8808715666716	355.2091903066035	367.46989104598487	383.57291833166386	341.0394576074806	347.44142576883127	365.41952447132974	326.4049374918715	367.73512862842244	331.73846267719586	328.4993409052179	354.42719569564554	335.9434634804422	380.17572395570295	378.1232744183269	367.9885830089301	364.24175079743384	353.02702492881633	387.24348909922185	424.6302101032294	454.40729941372325	410.8425663854335	413.7415681150288	370.03901602813625	145.3662171028381	11.367968124409312	1.4024788416649376	0.0	0.0
12.23	0.0	0.0	180.3484160684879	337.3048768484957	362.9684380284446	352.40796193202704	393.62014507104243	354.0647337589346	381.70785117763575	346.53068628167796	331.7240454623837	361.59686624189396	331.73080685073955	375.34458147306646	379.5620849836008	367.411156152955	370.615631662331	364.6906237437006	368.60941604977967	346.1800790263035	297.58426584551245	335.51741804681797	302.4317407123534	345.2058198702492	346.4262772726017	347.64449803674347	366.3094449881071	369.125314968939	357.03243123148553	344.4609683747682	446.90729099008655	426.15429675329807	445.6029283302207	383.48889723211386	383.543704337501	159.24403715322654	6.961521305978631	0.0	0.0	0.0
12.24	0.0	0.0	181.41276272338249	333.83585593920685	345.5551322755651	365.62128733833663	378.2436146519493	367.56283704495206	384.191021749924	361.2813870747366	381.17962994711274	379.51405537009856	380.5878935134511	369.53776375216006	416.5216248181423	351.0001744859096	343.6851653126991	327.20072040471763	324.63790576769566	330.0282788663521	362.59458124035643	348.2135060314766	300.9273980198334	349.00967193787096	354.91727374997544	355.68232084400785	378.7405936352186	369.433767767603	359.1263284502751	369.69981255420004	419.41762431757957	408.24490301584626	416.42384556413464	419.4551426905239	400.81738180474787	168.79270677934568	11.743851504354085	0.23175840237364648	0.0	0.0
12.25	0.0	0.0	200.5438223832006	333.9942157806396	354.394041857124	356.0433436271774	355.672463646923	372.0635686512631	369.16835798252566	370.85607366005274	353.1459137451578	375.6497992951242	376.20130681619816	365.7890302462242	360.4188879548064	357.3429137547697	398.2811295927871	357.3769638764175	330.67176672668324	335.74330530600326	366.1048788188374	352.05195023516285	345.48816749641753	351.89616488864283	348.3612573787188	364.31521576835473	364.7296956141002	374.8300279907952	359.2512117593732	370.2891897719363	398.2763821611627	411.97170687010885	399.8892205679163	427.8975702118551	409.05827411803705	191.20897655750102	17.597420528677276	1.091307334710928	0.0	0.0
12.26	0.0	0.0	194.7511292904069	343.5219193554066	339.35567322153815	372.63799434870407	355.3086040153794	354.2494294071274	338.0040342271891	368.03519416996477	367.1060387159115	358.2196889797888	335.3851630074739	384.27226489924936	389.83608658238023	341.51531569962634	372.6978070632793	335.0221118002157	313.20873393022856	338.7075847600749	355.39316054885825	337.5990364594678	342.015217939574	329.04090515697555	377.2223302534703	378.4000934416097	371.952211346513	365.7392800853945	378.2514515555072	369.78944125417775	389.4572338451945	438.431906922622	375.8018446673563	439.52440066863295	404.02274383677394	177.2491750577336	11.688101062036948	0.7678218014905547	0.0	0.0
12.27	0.0	0.0	201.65389794600236	346.1720418857213	346.12016132503044	348.77220640352743	380.2055889057407	370.40737008448724	361.3927240272972	390.69680376110045	374.1422135634031	356.32203345106853	409.3110525325255	352.41779794279125	361.8791771721402	410.4068312398697	384.14818738503334	354.9388658227699	327.49253203261554	323.018475467283	368.440066381933	352.5498894670312	341.6990730500851	351.60811081847964	362.15501515854436	376.39727549754224	353.62483419806875	369.1349217511692	337.3102752962183	384.41428355444503	398.30511977315933	452.17377132148164	420.46644355044475	430.7232934476409	362.78712507826384	166.53725908306984	5.65645466877258	0.01904085015690111	0.0	0.0
12.28	0.0	0.0	192.15779495148482	311.80906064157915	338.2363888180018	350.777973737561	369.05002589345264	396.05529686109975	403.44575713317613	334.3097607824492	359.16756343772596	373.20508426620717	385.5467335463363	417.2313561377424	370.2687131869827	371.8792228682343	386.0340811029855	328.26231014848025	370.0396012637838	383.4209422987651	298.5055848375222	330.6556125745442	309.9147338964245	330.6284669679519	410.5374730927723	391.69588544712786	375.1049812270595	380.356303794449	364.174452486908	374.63113968860404	442.74790904241	430.40123877426413	400.1460826808472	397.6215834091704	381.65222018084773	163.41981643209635	11.303380361456853	0.2532174833428207	0.0	0.0
12.29	0.0	0.0	192.41157624339507	338.32943345879926	320.65700336744925	339.8266103330931	369.2508205845227	379.89655516154795	400.1983077437302	366.5198453648989	367.28606151291444	351.131959131337	365.2855439655303	400.59941415639094	362.9638571912939	368.64461765189355	341.0192403618385	384.4241114050875	353.0937890867167	360.4981123522449	345.0263959210333	326.6230617383698	347.9596506600128	342.2998018165186	358.47759709021165	387.12783792227873	390.4336409896554	404.61675896343235	325.2465736709695	368.4802595189316	431.8008928899273	415.999783915826	380.21054528342313	390.6096059610251	392.05371295171346	158.52261582651442	12.837142410044716	0.3136733357467803	0.0	0.0
12.3	0.0	0.0	188.36107893128948	340.02130636051777	368.6975115083869	311.1041648273531	347.50647984408243	345.8212159595296	353.9871202415069	364.8710108528734	370.64062740756174	367.6523809064624	356.12850797034787	364.5640910205507	394.10704075647857	377.21682987076827	336.8956356581582	365.2609642559759	353.8101623193387	366.5600490465362	351.24722546527653	347.90165645226807	338.8061058282956	342.2347546728687	381.04035082085	345.57473352104984	370.0524568089016	376.5275007197433	370.75078859158435	347.84969285452365	453.41115649785695	444.1552510368934	402.9594811580055	387.2686758371126	372.66282356884403	191.40387434870294	8.36858790179841	1.384979563662038	0.0	0.0
12.31	0.0	0.0	221.00839792910844	352.1067689831289	347.84841371325115	360.41596422975306	358.56958890711843	358.57440745546216	348.34663316617934	397.9108969874154	362.2603002976937	351.2484373457469	389.93936267905957	398.18418106627485	377.31405880869517	372.8158157679715	315.0158576082633	338.0028606644184	318.36516342201895	286.31422552655465	367.03266586967993	345.4527976799294	381.59541626550504	368.8284349108839	352.5718107030798	401.67276932902297	392.8984911904786	400.9049747490832	403.994920649051	362.0069620757045	420.90457076848884	440.3652485086488	424.0100876149195	394.43237310388184	367.234383067945	196.30288100086347	6.988265129068017	0.7815502271053707	0.0	0.0
12.32	0.0	0.0	217.44298684380442	389.85933079059936	357.9121975662802	377.3008902924549	393.66676839291506	377.6199940605618	375.83662929371195	328.54543911332735	374.02693618688437	374.5385170187592	380.33895272265636	346.21890359036394	365.56223527096256	380.75630654597114	381.88738046509167	363.6850923573137	310.51796892039323	330.2175255583527	343.5209640132421	254.99480455093627	316.0016481783552	378.10297765243774	388.1214305066579	389.0273429519327	398.04168703050345	404.1935812924836	359.46618159981637	378.99636610709354	427.01048831548337	442.86601322102086	434.55657213028735	403.01319908269204	408.8494532196339	186.05068985359566	12.646979560163603	0.6513812095849821	0.0	0.0
12.33	0.0	0.0	213.50734942272027	351.6818574487932	380.1244067020714	368.45177192087516	371.1895469805515	336.5024723357152	364.28264976989925	375.1972219034966	372.7374964227578	369.8591116118036	344.3188599682686	386.81607741116346	383.82542310233663	414.761089855976	349.6308038648956	360.42287592059654	362.4273262276415	329.10492857882605	320.8686965646119	361.0189438203938	346.91428660016084	357.8726138558712	387.1134732548656	339.38164397855553	364.9043438023679	369.61522112858705	397.6031379028531	408.25319297106205	484.07602624347305	422.8546225034962	413.0817351768656	382.0051653447819	366.08786688317906	174.9430043470671	13.726882435684582	1.510046068770666	0.0	0.0
12.34	0.0	0.0	219.29530501086447	359.790189264122	351.7680667319123	333.0184013672193	347.6451632485585	351.37131572860835	353.6523473518826	354.24006770695456	394.9750611833615	405.1301853542782	394.9384375762848	414.36752074099684	374.11651088381865	387.01271744621465	349.3058443956247	360.3988821161067	341.338270963426	361.78434686111495	357.97801601316564	330.6754308837013	363.4233067928757	378.5458392479651	362.64791741462767	384.0392075910695	376.65566721453206	376.4661406560421	383.25320287760155	401.8638426037652	424.1095642545579	424.483629130371	414.78368485194414	412.9985746921195	426.318039390223	178.47011743960667	10.406066064767252	0.6149083557630146	0.0	0.0
