
[SpecTaroscoPy — PES image]
Author	R Nakazawa
Contact	nakazawa@ims.ac.jp
Version	6.5.3
--- Info ---
User	
Load File Path	/Users/ryotaro/Documents/実験データ/SpecTaroscoPy/SpecTaroscoPy/examples/DA30/Si0006.txt
Save File Path	/Users/ryotaro/Documents/実験データ/SpecTaroscoPy/SpecTaroscoPy/examples/DA30/STPy_6_5_3_PESImage/Si0006_EDCs_EF_Offset.txt
Total Actual Scans	10
X Label	Binding Energy (eV)
Y Label	$k_{\parallel} \ \mathrm{(\AA^{-1})}$
Z Label	Intensity (cps)
X Min	-0.0
X Max	5.0
X Step	0.01
Ek Offset	0.0
Y Min	-0.730764
Y Max	0.498633
Y Step	0.001774
Ang or Posi Offset	-3.0
MCP Function Path	None
--- Axis Conversion ---
Photon Energy	None
Applied Voltage	0.0
kinetic Energy at Fermi Level	17.0
Secondary Electron Cutoff	None
--- EDCs Stacking ---
Y Slice Center	0.48269 0.4525755 0.4224605 0.3923455 0.3622305 0.3321155 0.302001 0.271886 0.241771 0.211656 0.181541 0.151426 0.121311 0.0911965 0.0610815 0.0309665 0.0008515 -0.0292635 -0.059378 -0.089493 -0.119608 -0.149723 -0.179838 -0.209953 -0.240068 -0.2701825 -0.3002975 -0.3304125 -0.3605275 -0.3906425 -0.420757 -0.450872 -0.480987 -0.511102 -0.541217 -0.571332 -0.601447 -0.6315615 -0.6616765 -0.6917915
Z Offset EDCs	0.0 -400.0 -800.0 -1200.0 -1600.0 -2000.0 -2400.0 -2800.0 -3200.0 -3600.0 -4000.0 -4400.0 -4800.0 -5200.0 -5600.0 -6000.0 -6400.0 -6800.0 -7200.0 -7600.0 -8000.0 -8400.0 -8800.0 -9200.0 -9600.0 -10000.0 -10400.0 -10800.0 -11200.0 -11600.0 -12000.0 -12400.0 -12800.0 -13200.0 -13600.0 -14000.0 -14400.0 -14800.0 -15200.0 -15600.0
 
DATA:
EF_Si0006_EDCs	Si0006_EDCs_0.483_Offseted	Si0006_EDCs_0.453_Offseted	Si0006_EDCs_0.422_Offseted	Si0006_EDCs_0.392_Offseted	Si0006_EDCs_0.362_Offseted	Si0006_EDCs_0.332_Offseted	Si0006_EDCs_0.302_Offseted	Si0006_EDCs_0.272_Offseted	Si0006_EDCs_0.242_Offseted	Si0006_EDCs_0.212_Offseted	Si0006_EDCs_0.182_Offseted	Si0006_EDCs_0.151_Offseted	Si0006_EDCs_0.121_Offseted	Si0006_EDCs_0.091_Offseted	Si0006_EDCs_0.061_Offseted	Si0006_EDCs_0.031_Offseted	Si0006_EDCs_0.001_Offseted	Si0006_EDCs_-0.029_Offseted	Si0006_EDCs_-0.059_Offseted	Si0006_EDCs_-0.089_Offseted	Si0006_EDCs_-0.12_Offseted	Si0006_EDCs_-0.15_Offseted	Si0006_EDCs_-0.18_Offseted	Si0006_EDCs_-0.21_Offseted	Si0006_EDCs_-0.24_Offseted	Si0006_EDCs_-0.27_Offseted	Si0006_EDCs_-0.3_Offseted	Si0006_EDCs_-0.33_Offseted	Si0006_EDCs_-0.361_Offseted	Si0006_EDCs_-0.391_Offseted	Si0006_EDCs_-0.421_Offseted	Si0006_EDCs_-0.451_Offseted	Si0006_EDCs_-0.481_Offseted	Si0006_EDCs_-0.511_Offseted	Si0006_EDCs_-0.541_Offseted	Si0006_EDCs_-0.571_Offseted	Si0006_EDCs_-0.601_Offseted	Si0006_EDCs_-0.632_Offseted	Si0006_EDCs_-0.662_Offseted	Si0006_EDCs_-0.692_Offseted
4.9	0.0	-400.0	-632.9268204072546	-839.1919926890512	-1264.5969403874565	-1647.4023529082388	-2011.803241331896	-2448.5036992021996	-2848.4296783412974	-3274.40216737118	-3649.2732291754505	-4048.5070213694253	-4469.7052320803305	-4839.676859503919	-5222.548534001149	-5616.7156607056495	-6038.196862664645	-6446.708243787304	-6864.08059409248	-7258.477547130033	-7653.066701634332	-8089.780918909705	-8466.821381548967	-8858.791865800213	-9230.116039879691	-9651.543047502166	-10018.929201534924	-10413.23731812497	-10815.898294064744	-11233.410681965916	-11626.9500277625	-11967.766713963476	-12398.959409945113	-12816.712193752433	-13243.876252251135	-13869.809646270582	-14397.370843778464	-14800.0	-15200.0	-15600.0
4.89	0.0	-400.0	-623.9617195112047	-876.5573575258238	-1262.3197768757943	-1674.8838571858184	-2006.8184485872318	-2445.953745635101	-2801.481950502363	-3184.4106313652496	-3660.3521790383925	-4003.0516764128547	-4435.3057433892345	-4846.662357487543	-5234.605898711921	-5645.711323283652	-6050.674960085935	-6443.5224501401535	-6847.526255000398	-7276.830299813247	-7651.120702093776	-8075.475086455102	-8470.147025192984	-8838.507407289766	-9235.130606792882	-9645.265174083024	-10037.72170775603	-10466.225864079983	-10833.018805696402	-11240.44570522002	-11647.747711247872	-12004.3432773059	-12386.51446748697	-12809.121515135505	-13221.364254968557	-13866.826649150848	-14397.342514408123	-14800.0	-15200.0	-15600.0
4.88	0.0	-400.0	-623.3181830899828	-878.5337269089468	-1264.5620063886029	-1662.080624326987	-2057.8247100664867	-2427.7172876387017	-2863.0075395470276	-3239.835226814898	-3604.764725085926	-4035.235120866696	-4421.8526351294995	-4831.2277206058	-5243.202053694591	-5632.171201388914	-6040.791041527471	-6463.031643267515	-6871.093460442688	-7225.793965889833	-7633.427517471149	-8053.051578229791	-8453.828228257991	-8847.547317364157	-9266.037376512479	-9637.453656890926	-10042.314754436284	-10434.069476480352	-10887.336526301968	-11212.575715177458	-11622.798579355918	-12011.254334422136	-12410.708743590996	-12777.898528778074	-13211.42874252024	-13856.353718118737	-14396.95351184709	-14800.0	-15200.0	-15600.0
4.87	0.0	-400.0	-626.7335918049604	-876.931692871027	-1265.3432665535265	-1648.6725793457042	-2065.0347435220806	-2462.1744523615116	-2871.3769943100433	-3244.436017012174	-3644.0321555273936	-4048.651529717792	-4447.67456159262	-4774.129224809144	-5238.611935965775	-5628.275547709007	-6021.69188970114	-6458.236486641115	-6857.875695013209	-7280.517576257929	-7630.134470709871	-8053.233287519275	-8447.249277709021	-8855.86292100765	-9232.992629202756	-9632.004848557563	-10034.981840492475	-10445.52291217132	-10842.133406736291	-11258.974703258562	-11598.510868729358	-12000.406702743505	-12361.350973795175	-12792.687918260948	-13196.076586641411	-13876.564538467244	-14391.181355730156	-14800.0	-15200.0	-15600.0
4.86	0.0	-400.0	-646.4691426421516	-851.8194419250241	-1265.2594766139232	-1636.4894976425417	-2060.51976517574	-2446.741610442552	-2864.453683971327	-3243.928733961809	-3603.355434378887	-4053.277717382898	-4416.832417991709	-4836.4253364770775	-5234.309462299951	-5621.232800389732	-6045.492747928626	-6437.880683749966	-6856.0550194891475	-7300.869524271044	-7693.1107307431	-8072.597836059811	-8429.948765760213	-8877.460420249286	-9238.874605339972	-9625.803825761926	-10019.58124762504	-10431.839717055009	-10837.09407667124	-11216.454109929222	-11628.580191787001	-11958.849726419421	-12376.849308099141	-12823.15608502448	-13250.094170148592	-13867.458327192799	-14394.149813081265	-14799.230843932037	-15200.0	-15600.0
4.85	0.0	-400.0	-625.5127031605532	-860.4280525241893	-1258.2435453145342	-1648.4491404195378	-2047.6343416957457	-2461.0539513874546	-2820.782616984107	-3234.760042647599	-3647.884308344647	-4037.8047062958854	-4416.0955835376735	-4847.4979624797425	-5223.5139918120785	-5625.944424027378	-6023.8207698865735	-6459.030728981476	-6868.257893416981	-7295.160077126401	-7653.807518621253	-8055.836663772376	-8463.760071869478	-8820.046213074495	-9192.1102336578	-9627.152922414167	-10040.323705070648	-10444.924731041217	-10854.251186409603	-11245.423812508665	-11611.602310217047	-11984.409537130958	-12364.585653523107	-12817.965323767556	-13236.974852233732	-13868.49225755375	-14396.242542123315	-14800.0	-15200.0	-15600.0
4.84	0.0	-400.0	-633.2306724947346	-873.1445573077864	-1273.7710608198172	-1674.2172101441597	-2044.527497383765	-2437.2095453660495	-2832.009185652695	-3235.1461698081434	-3615.87028181483	-4050.2387234043726	-4445.688861145888	-4836.319714409421	-5202.922036420695	-5654.079122507795	-6028.55241353031	-6437.179997616036	-6864.122699294111	-7254.772667888733	-7664.128287579827	-8077.956480236877	-8468.750262121725	-8832.326969667261	-9234.510410061235	-9606.78197857743	-10052.507051232697	-10427.39950762037	-10824.52782922388	-11210.304863905458	-11610.515054772313	-11983.08621879533	-12392.503652409563	-12795.044828738673	-13212.073514709631	-13840.88563843205	-14396.075116855924	-14799.588393496073	-15200.0	-15600.0
4.83	0.0	-400.0	-617.8594720442568	-869.6868149445784	-1289.3102053709501	-1650.1107644357992	-2037.635656645234	-2443.7427347206312	-2850.3753845544525	-3227.383819126804	-3653.356056126727	-4049.8275469325154	-4439.663197735252	-4844.675059752813	-5209.758403010865	-5625.780018728719	-6049.23101031671	-6451.168500468027	-6850.657234169094	-7236.827915509569	-7672.177900355118	-8085.442899768705	-8474.760790821694	-8837.806067208516	-9258.608631370671	-9649.26914846819	-10036.597896367315	-10434.69648554676	-10810.525306270329	-11228.344267260134	-11594.595373812406	-11956.024667984435	-12369.092223558251	-12782.430294933141	-13204.730546955487	-13866.834965253329	-14388.628647712749	-14799.454384258235	-15200.0	-15600.0
4.82	0.0	-400.0	-627.7137992787528	-857.6350920737893	-1282.7372369827444	-1673.1722004302635	-2046.1330239484264	-2431.928942819962	-2844.442816622102	-3203.3963253288302	-3632.0144209804926	-4035.4428379233395	-4412.635863249056	-4816.320385606466	-5236.34216594443	-5654.569797473861	-6024.949539004254	-6428.5274009896975	-6831.126936392199	-7234.295701426096	-7684.313263884065	-8063.117129942111	-8439.353738382993	-8847.95997503311	-9258.699377698196	-9653.18312598806	-10048.593956093815	-10410.264687981138	-10842.702917914454	-11235.462845106827	-11579.58973173628	-11967.55433910644	-12402.383602122163	-12770.481667824812	-13234.120153104672	-13837.10124612378	-14396.08201671441	-14799.962916731714	-15200.0	-15600.0
4.81	0.0	-400.0	-643.211426982394	-868.2218795802629	-1257.3420320864639	-1672.3226816536094	-2034.1269404732836	-2417.0588345559263	-2862.535673211007	-3214.247829243827	-3638.483289795982	-4012.681680908941	-4408.75112198665	-4870.148613205237	-5231.46554473124	-5608.46165714133	-6025.39814029996	-6432.583487053867	-6843.298095499558	-7263.5294669520845	-7608.748673593147	-8047.306406160746	-8455.921873176118	-8864.875121683166	-9240.601865061071	-9654.519482460597	-10020.507633938947	-10396.556237038836	-10839.914199600187	-11233.575368968139	-11602.132573211025	-11979.274839371406	-12355.301727320188	-12779.55808715116	-13226.306910800677	-13864.006673467147	-14395.20301114297	-14800.0	-15200.0	-15600.0
4.8	0.0	-400.0	-639.6523968824821	-863.0426222325868	-1260.6403202166923	-1661.1490834985464	-2028.9461259375344	-2432.914953189378	-2839.095157915121	-3263.75287954972	-3644.349963204888	-4008.409256919606	-4468.774497119961	-4826.407542900784	-5231.4365194726215	-5633.234501031922	-6077.137189050004	-6458.423518967338	-6848.23630664085	-7260.172644187083	-7650.551349573996	-8051.373941515051	-8433.043606758325	-8852.15761056778	-9240.014880100956	-9645.881206242828	-10022.704640202337	-10379.655638883474	-10821.076725342582	-11238.0557016258	-11590.820878268909	-12022.387213976712	-12409.72300647684	-12781.526831712312	-13192.480397211602	-13857.997218688317	-14396.40745681976	-14799.987149000917	-15200.0	-15600.0
4.79	0.0	-400.0	-596.0530538990845	-833.7528059895346	-1265.1510826874917	-1675.3143610226857	-2038.5857373033894	-2418.7958261126764	-2841.222304344451	-3236.515139636683	-3669.2719996966243	-4043.4396228139026	-4450.4543673844655	-4822.862822508379	-5225.725834717707	-5650.023797751386	-6021.803536178534	-6458.869523037671	-6848.361416339927	-7254.301367925347	-7639.339030813067	-8065.116676008953	-8450.238322732088	-8867.533051726103	-9276.845699578718	-9683.876715449012	-10043.200330937107	-10434.360933510683	-10779.846180655893	-11238.054142426949	-11635.246596543391	-11974.85661977583	-12409.357196443976	-12778.60877856706	-13243.556448828813	-13829.50542160188	-14388.537999253986	-14798.800243195114	-15200.0	-15600.0
4.78	0.0	-400.0	-629.5445751396255	-854.334725726042	-1245.0111674240661	-1660.5191068718373	-2010.9660062223302	-2404.847717447379	-2851.616133841165	-3275.6567350721234	-3691.1255825350026	-4074.1191284333286	-4444.790809693396	-4832.530108954015	-5216.4270816683365	-5658.9605423925195	-6052.558574231169	-6434.58047552867	-6873.595062508129	-7232.264871371577	-7668.2615373228045	-8071.500659094782	-8445.572804304355	-8864.056536519558	-9219.824276044297	-9621.876725581673	-10032.01141699107	-10435.758249202567	-10846.972975071183	-11212.756510900777	-11575.369789896771	-11945.592700586276	-12389.157433614566	-12786.258431884971	-13229.960983971863	-13854.633782897163	-14388.632031875592	-14798.597521158335	-15200.0	-15600.0
4.77	0.0	-400.0	-619.651583931512	-862.6951231515043	-1237.0315619715554	-1647.592038067973	-2006.3798549289577	-2445.9352662410656	-2818.292148822364	-3253.469313718322	-3668.275954537616	-4038.403133758106	-4468.269193149261	-4824.655418526933	-5220.4379150163995	-5632.588843847045	-6029.384368337669	-6435.309376256299	-6831.39058395022	-7253.819920973697	-7702.415734154488	-8064.482581953182	-8497.568259287647	-8854.794180129751	-9253.573722727398	-9652.355501963257	-10033.690555011894	-10430.874685031062	-10842.967568768514	-11255.539031625232	-11553.092709009914	-11973.845703246701	-12354.397071669779	-12816.511102767887	-13216.4562956625	-13840.755962846773	-14393.038478694021	-14800.0	-15200.0	-15600.0
4.76	0.0	-400.0	-618.5872372766175	-866.1641440607932	-1254.444867724435	-1634.3787126616635	-2021.7563853480506	-2432.437162955048	-2815.808978250076	-3238.718612925263	-3618.8203700528875	-4020.4859446299015	-4419.4121064865485	-4830.46223624784	-5183.478375181858	-5648.999825514091	-6056.314834687301	-6472.799279595282	-6875.362094232304	-7269.971721133648	-7637.405418759644	-8051.786493968523	-8499.072601980166	-8850.99032806213	-9245.082726250024	-9644.317679155993	-10021.259406364781	-10430.566232232397	-10840.873671549725	-11230.3001874458	-11580.582375682421	-11991.755096984154	-12383.576154435865	-12780.544857309476	-13199.182618195253	-13831.207293220654	-14388.256148495646	-14799.768241597627	-15200.0	-15600.0
4.75	0.0	-400.0	-599.4561776167994	-866.0057842193604	-1245.605958142876	-1643.9566563728226	-2044.327536353077	-2427.9364313487367	-2830.831642017474	-3229.143926339947	-3646.854086254842	-4024.350200704876	-4423.798693183802	-4834.210969753776	-5239.581112045194	-5642.65708624523	-6001.718870407213	-6442.623036123582	-6869.328233273317	-7264.256694693997	-7633.895121181163	-8047.948049764837	-8454.511832503582	-8848.103835111357	-9251.63874262128	-9635.684784231646	-10035.2703043859	-10425.169972009206	-10840.748788240628	-11229.710810228064	-11601.723617838838	-11988.028293129892	-12400.110779432083	-12772.102429788145	-13190.941725881963	-13808.7910234425	-14382.402579471323	-14798.908692665289	-15200.0	-15600.0
4.74	0.0	-400.0	-605.2488707095931	-856.4780806445933	-1260.6443267784618	-1627.362005651296	-2044.6913959846206	-2445.7505705928725	-2861.995965772811	-3231.9648058300354	-3632.8939612840886	-4041.7803110202112	-4464.614836992526	-4815.727735100751	-5210.163913417619	-5658.484684300373	-6027.3021929367205	-6464.9778881997845	-6886.791266069771	-7261.2924152399255	-7644.606839451142	-8062.400963540532	-8457.984782060426	-8870.959094843025	-9222.77766974653	-9621.599906558391	-10028.047788653486	-10434.260719914606	-10821.748548444493	-11230.210558745823	-11610.542766154806	-11961.568093077378	-12424.198155332644	-12760.475599331367	-13195.977256163225	-13822.750824942266	-14388.311898937964	-14799.23217819851	-15200.0	-15600.0
4.73	0.0	-400.0	-598.3461020539976	-853.8279581142788	-1253.8798386749695	-1651.2277935964726	-2019.7944110942594	-2429.5926299155126	-2838.6072759727026	-3209.3031962388995	-3625.857786436597	-4043.6779665489316	-4390.6889474674745	-4847.582202057209	-5238.12082282786	-5589.5931687601305	-6015.851812614967	-6445.06113417723	-6872.507467967384	-7276.981524532717	-7631.559933618067	-8047.450110532969	-8458.300926949914	-8848.391889181521	-9237.844984841455	-9623.602724502458	-10046.375165801932	-10430.865078248831	-10862.689724703781	-11215.585716445556	-11601.69488022684	-11947.826228678518	-12379.533556449554	-12769.276706552359	-13237.212874921735	-13833.46274091693	-14394.343545331227	-14799.980959149843	-15200.0	-15600.0
4.72	0.0	-400.0	-607.8422050485152	-888.1909393584208	-1261.7636111819982	-1649.222026262439	-2030.9499741065474	-2403.9447031389004	-2796.554242866824	-3265.6902392175507	-3640.832436562274	-4026.794915733793	-4414.453266453664	-4782.768643862258	-5229.7312868130175	-5628.120777131766	-6013.9659188970145	-6471.7376898515195	-6829.960398736216	-7216.579057701235	-7701.494415162478	-8069.344387425455	-8490.085266103575	-8869.371533032048	-9189.462526907228	-9608.304114552871	-10024.89501877294	-10419.64369620555	-10835.825547513092	-11225.368860311395	-11557.25209095759	-11969.598761225736	-12399.853917319153	-12802.37841659083	-13218.347779819152	-13836.580183567903	-14388.696619638544	-14799.746782516657	-15200.0	-15600.0
