
[SpecTaroscoPy — PES image]
Author	R Nakazawa
Contact	nakazawa@ims.ac.jp
Version	6.5.0
--- Info ---
User
Load File Path	/Users/ryotaro/Documents/実験データ/SpecTaroscoPy/SpecTaroscoPy/examples/DA30/Si0006.txt
Save File Path	/Users/ryotaro/Documents/実験データ/SpecTaroscoPy/SpecTaroscoPy/examples/DA30/STPy_6_5_0_PESImage/Si0006_EDCs_EF.txt
Total Actual Scans	10
X Label	Binding Energy (eV)
Y Label	$k_{\parallel} \ \mathrm{(\AA^{-1})}$
Z Label	Intensity (cps)
X Min	-0.11
X Max	4.89
X Step	0.01
Ek Offset	0.0
Y Min	-0.626041
Y Max	0.605373
Y Step	0.001774
Ang or Posi Offset	0.0
MCP Function Path	None
--- Axis Conversion ---
Photon Energy	None
Applied Voltage	0.0
kinetic Energy at Fermi Level	16.89
Secondary Electron Cutoff	None
--- EDCs Stacking ---
Y Slice Center	0.576983 0.521978 0.466972 0.411967 0.356961 0.3019555 0.24695 0.191944 0.136939 0.081933 0.026928 -0.028078 -0.083083 -0.138089 -0.193094 -0.2481 -0.303105 -0.358111 -0.4131165 -0.468122 -0.523128 -0.578133
Z Offset EDCs	0.0 -400.0 -800.0 -1200.0 -1600.0 -2000.0 -2400.0 -2800.0 -3200.0 -3600.0 -4000.0 -4400.0 -4800.0 -5200.0 -5600.0 -6000.0 -6400.0 -6800.0 -7200.0 -7600.0 -8000.0 -8400.0

[SpecTaroscoPy — Second Derivative]
Author	R Nakazawa
Contact	nakazawa@ims.ac.jp
Version	6.5.0
--- info ---
User	
File	Si0006_EDCs_EF.txt
Smoothing Method	Savitzky-Golay
Smoothing Params	2.0 21.0 21.0
Intensity Offset	

DATA:
EF_Si0006_EDCs2Der	Si0006_EDCs_0.5772Der	Si0006_EDCs_0.5222Der	Si0006_EDCs_0.4672Der	Si0006_EDCs_0.4122Der	Si0006_EDCs_0.3572Der	Si0006_EDCs_0.3022Der	Si0006_EDCs_0.2472Der	Si0006_EDCs_0.1922Der	Si0006_EDCs_0.1372Der	Si0006_EDCs_0.0822Der	Si0006_EDCs_0.0272Der	Si0006_EDCs_-0.0282Der	Si0006_EDCs_-0.0832Der	Si0006_EDCs_-0.1382Der	Si0006_EDCs_-0.1932Der	Si0006_EDCs_-0.2482Der	Si0006_EDCs_-0.3032Der	Si0006_EDCs_-0.3582Der	Si0006_EDCs_-0.4132Der	Si0006_EDCs_-0.4682Der	Si0006_EDCs_-0.5232Der	Si0006_EDCs_-0.5782Der
4.79	1.2779439781716233e-18	0.1298472706340803	0.08105493709652478	0.037403622574373685	0.10311945627756813	0.011103111310603708	0.01836026509576527	0.06960411256974908	0.03761213421839216	0.048186365010849386	0.029939489992898416	-0.028707930183770713	-0.043242861717857295	0.0021562222430873135	0.03493334203017184	0.05679588714480133	0.12089514748740271	0.15060825102256103	0.016818406226320803	0.13938769788499883	0.018684751147669987	-1.369833433951154e-10
4.78	4.265430905275335e-18	0.11752051751597747	0.09908725468773127	0.035399003518222116	0.10852842420669617	0.02145437786595039	0.02652128049706448	0.07328207531094222	0.03514147373607557	0.01999070976967232	0.03047678952594879	-0.011026757213556948	-0.022413478005347542	0.014767820006653665	0.018764591533539488	0.0730646347955144	0.15493921713843406	0.11572629801574408	-0.005822553270036224	0.12680941191750605	0.019683234526310045	-1.683363794727662e-10
4.77	8.130083000315979e-18	0.10497436867215981	0.11573008617614278	0.03236421681552315	0.11072850122053524	0.03220184766399825	0.03527029496936507	0.07624096373172051	0.03183705816877591	-0.010094085929665653	0.030475692846039237	0.007723385363874513	-0.0006086520364192438	0.028203459794440278	0.0030967483672270646	0.08796994392119473	0.18872506422243873	0.07913075774658296	-0.028863681599972324	0.11243168869569331	0.020244567237923672	-1.8854340388323676e-10
4.76	1.1401056074677009e-17	0.0893259017763981	0.13214583434103133	0.028002853340979073	0.11017657210686593	0.04391945359333249	0.044819783949463954	0.0779559254524429	0.027217776205617383	-0.04468616491845978	0.030055276293381894	0.02949219886136234	0.02472980569405081	0.043324521126919535	-0.014479949395081348	0.10307328318009468	0.224364777001	0.03563168591142585	-0.05433749517976594	0.09388844336106672	0.020420997755248305	-1.8868145588626073e-10
4.75	1.1336693314574294e-17	0.07557205911962228	0.14551652068868748	0.02276535758196019	0.10560940805325458	0.055158394669007293	0.05444959298634444	0.07876100227898064	0.02199654513813698	-0.07863030779512314	0.029209370146929814	0.050885417274685096	0.04921625731429913	0.05831202190998397	-0.029591126075899865	0.11532913727651817	0.2573835185486928	-0.005933897554712075	-0.07784806861488391	0.07527728448960147	0.020080252310897828	-1.584149773538844e-10
4.74	4.2017388821748654e-18	0.0645053986957933	0.15534690334260404	0.01680826774156685	0.09701976424605618	0.0655340636205608	0.06390987909512091	0.07860567400666696	0.016327923141744805	-0.11081243236779414	0.02807310061675139	0.07134229724238139	0.07219094625546063	0.07273804969869957	-0.04157981083068307	0.12437627570619725	0.28699764609953604	-0.04423360140117438	-0.09843434466031908	0.05741412335173379	0.019241234526948592	-8.704152858518726e-11
4.73	-1.364157567713633e-17	0.05671002998680308	0.16133880948348178	0.0103270933207682	0.08461463060933738	0.0747056852304695	0.07296170294429771	0.07746498393328238	0.010384117975377194	-0.14024285211729648	0.026804103656530742	0.09040461680427825	0.09315964081571337	0.08621293024580723	-0.04999747053199144	0.13007296030784232	0.3126299404078452	-0.07828683011146609	-0.11530438474133575	0.04103747602361807	0.017952614805203604	3.5109206613640334e-11
4.72	-4.366716772384463e-17	0.052498252250927635	0.1634209413037695	0.0035469140482007333	0.0688148123801966	0.08239998607746202	0.08139231053033313	0.07534116397530966	0.0043462138097822844	-0.16612326435594582	0.02556986208702483	0.10775029774401901	0.11183792087780375	0.09840927725238657	-0.05464853914079981	0.13252001483664344	0.33394298106520637	-0.10756423431499229	-0.1278985119114111	0.02675054301433022	0.01629108786532152	2.1476586534973233e-10
4.71	-8.232791004291097e-17	0.051853208880309865	0.16176929909988758	-0.003290253554297351	0.05024232046505972	0.08843378993199735	0.08903026569910821	0.07226299505231282	-0.0016065687400441675	-0.18791104267336323	0.024533500387917684	0.12322379857855026	0.12818930989342903	0.10908526618675296	-0.05562743540653514	0.1320726766622613	0.35086229723563633	-0.1320744663197786	-0.13594704539440272	0.014962505073683019	0.014357708473385689	4.5337265302108e-10
4.7	-1.1811621530287247e-16	0.054379356502948895	0.15681718367162034	-0.00994105385501598	0.029695825439205237	0.09273453961068867	0.0957595574266179	0.06828228645295553	-0.0073095008922905436	-0.20537882096235194	0.023839020749562678	0.13686274978164192	0.14245631012096283	0.11810637068390406	-0.05334719835997248	0.1293407444263721	0.3635889649805506	-0.15243562549164835	-0.13952024393105944	0.0058306454253767015	0.012272416609850456	7.444538922386177e-10
4.69	-1.2984838777595116e-16	0.05926192943331188	0.14925431838170766	-0.016178911601457457	0.008115128567368401	0.09535783816576782	0.10153180991392219	0.06346691212272049	-0.012626716208785638	-0.21866776199684068	0.023597027452410657	0.14892066620274136	0.15518398219191454	0.125464917347756	-0.048559473275076925	0.12517729484571305	0.3726020459727124	-0.16993004148085333	-0.13906854547755643	-0.0007952905078667527	0.010166976828223984	1.0709229455142791e-09
4.68	-8.794805510001897e-17	0.06613930605283258	0.1395529378496292	-0.021737225741475186	-0.013688024265150034	0.09627842881531024	0.10627872190872267	0.05798983226634391	-0.01733599415200615	-0.2274651881110401	0.02384746704208851	0.15927978198172354	0.16644408164850688	0.13100035323995485	-0.041581867021534435	0.12011591754560413	0.37789745571808453	-0.18494183388838792	-0.13472822997971434	-0.004700278000882463	0.008151365260467891	1.402664756036124e-09
4.67	3.9428874307049826e-17	0.0752531979664326	0.12790008810887343	-0.02630469527190371	-0.03507363985127654	0.09536298121835785	0.10990183304417656	0.05214538206956831	-0.02111353939906735	-0.23088463726440978	0.024560951745911552	0.16736420433321086	0.17571126200994058	0.13436249574601788	-0.0321785701833619	0.11428015157267168	0.37889237058587355	-0.1966910428498636	-0.1262156498893603	-0.005196341358654877	0.006308025982885379	1.6948618247066936e-09
4.66	2.7420692635531543e-16	0.08614436828591465	0.11488355535985306	-0.029641798681439013	-0.05524234113849502	0.09270117670655509	0.11241657318410603	0.046203852690979375	-0.02372950141102592	-0.2287466065450019	0.025687782195376485	0.17303619778590473	0.18302246068597583	0.13545404083023982	-0.020712993175635575	0.10817646190980668	0.3755660720314893	-0.20555206861507713	-0.11388667267411279	-0.002178684556795929	0.004729332224958416	1.887581090276076e-09
4.65	6.104375823594602e-16	0.09793608890107919	0.10130858088390937	-0.03157684742507172	-0.07336472722099074	0.08853555896550347	0.1139203353736491	0.04042158670026197	-0.025023972257997684	-0.22132413468514756	0.02714590926214555	0.17641393346877976	0.1887247738639246	0.1343440681261825	-0.007890212169741062	0.10248171504764514	0.36819807528749493	-0.21254224574678915	-0.09850198295228552	0.004068658450989915	0.003500235804386076	1.9071254978616045e-09
4.64	9.93305314318434e-16	0.10996449045025258	0.08784579323173602	-0.03196891719608175	-0.0887823808147914	0.08310467741839034	0.11452097778666825	0.035088855323635926	-0.024831538979611878	-0.20875645174410806	0.0288067596848407	0.17746274071299695	0.1929265453350979	0.13106854366577636	0.0057937634619520395	0.09763592246923736	0.35683627188245737	-0.2182045386274183	-0.08071407490342608	0.0133502594972299	0.00267392680055778	1.669733165828189e-09
4.63	1.3008874834194927e-15	0.12157793854625965	0.07513129850238442	-0.03073228451589216	-0.10096510130821912	0.07669219782658843	0.1143531951501302	0.03049119626879815	-0.023021519272049318	-0.1912647513662762	0.030517272590770972	0.1761547177629268	0.19569148451049045	0.12570647369295784	0.019862889798105243	0.09396477606807707	0.3415043291819302	-0.2229782716597981	-0.06122532122114421	0.025383086211533623	0.0022772241185253783	1.0881131618574704e-09
4.62	1.3375394719169027e-15	0.13216697470276983	0.06374155318522412	-0.027840728859615638	-0.10952930230288871	0.06961549642042542	0.11356732891812271	0.0268924562580537	-0.01950521439684394	-0.1691429260806956	0.0321148297674938	0.1724727836376303	0.197030277911324	0.1183779721254723	0.03387576538631265	0.09166141601841105	0.32220917731513055	-0.22716409620082345	-0.04075545741039832	0.03980494732486761	0.002309318969801577	8.109996208019079e-11
4.61	8.498717861268784e-16	0.14118583266626672	0.05417492571052662	-0.023329075019802303	-0.11424650368914513	0.06221409425540969	0.11231730303290988	0.024516972913687596	-0.01424258365886999	-0.14275382475540255	0.03344400144038673	0.16642110842769853	0.1969023647549477	0.1092436294951824	0.047431808509657	0.0907803279296786	0.29896025200122267	-0.2309099640762895	-0.020013635050673884	0.056180507095007215	0.002742451234128307	-1.4135227902134677e-09
4.6	-4.2386279547717253e-16	0.1481623780125787	0.04684147443026632	-0.017292060686287414	-0.11504150287802872	0.054838936365229074	0.11074870970665529	0.02353168731181654	-0.0072482673723470725	-0.11253325208429033	0.03437372551502449	0.1580425102858669	0.19522961073187162	0.09850582731823465	0.06016739697372486	0.09124484974586267	0.27180052684562384	-0.23422294934749743	0.0003218250614906992	0.07400286777304643	0.003524517012484907	-3.423339452054806e-09
4.59	-2.6638858297791268e-15	0.15269349010034006	0.04206209989112608	-0.009880874947242546	-0.11198047950614409	0.04784356289624725	0.10898816356873908	0.024028963669138648	0.0014030009370742391	-0.07900381184771277	0.03481341078878586	0.1474431658908486	0.19192324950051898	0.08641261213554685	0.07174070836603619	0.09286911977520163	0.24084867912236518	-0.2370109789570165	0.019612934607607713	0.09268859167478638	0.004583471759320279	-5.923513609921526e-09
4.58	-5.839844695430968e-15	0.15442313455569945	0.0400778301979301	-0.0012979790006681924	-0.10524993679015893	0.04157822103059061	0.10713506922903093	0.026010801456124	0.011571413574415601	-0.0428005436339447	0.03472643819009136	0.13482479385075408	0.18692510214827962	0.07326470623718251	0.08180423987826657	0.095394627950526	0.20635114182167058	-0.23915767067546767	0.037257946215106585	0.111563931409421	0.005833263241633357	-8.818156367424175e-09
4.57	-9.557472021348654e-15	0.153085185823862	0.04102465742718664	0.008215390699206182	-0.09515215939222799	0.03636746855855222	0.10524840869072705	0.029384222222915923	0.02305905695826027	-0.004629854074863715	0.034135913268357854	0.1204673684565023	0.1801891267265603	0.05939881266476732	0.09003906370844561	0.09848808876523663	0.16866933095124637	-0.24048279759520597	0.05273840418803388	0.12990644342666258	0.007178040409527853	-1.1922659157638108e-08
4.56	-1.291376141610007e-14	0.14857481167580033	0.04489592921422059	0.018396439676507725	-0.08210439006174397	0.032480837687643316	0.10333300129695999	0.033965413746955164	0.03562424866629499	0.034803874207227636	0.03312472476213202	0.10468653629840219	0.17163537087935765	0.04515917663326263	0.09621740396008249	0.10172495757734623	0.12823543369901813	-0.2406515447891593	0.0656869727818048	0.14701466586535616	0.008516123596419511	-1.494932460091206e-08
4.55	-1.4413377334685472e-14	0.14091838302267234	0.05156295281906864	0.028972502517632392	-0.06660371352606376	0.03012871509108095	0.1013389614289224	0.03947935541970082	0.04898512525309684	0.07478046974020458	0.03183590255304125	0.08785310163358417	0.16119085839793001	0.030899723162775672	0.10017749457449554	0.10464009007748132	0.08558977866618989	-0.23926144643260727	0.07587145332666978	0.16220399251494655	0.009748124562758864	-1.7499082152763666e-08
4.54	-1.2016393577986614e-14	0.13024138398881746	0.06079660737412951	0.039672787100613505	-0.04919282330627084	0.029459445411816887	0.0991647681836696	0.04556498612222981	0.06282536387521986	0.11454985195683776	0.030466915117074223	0.07040579663592439	0.14882707168331422	0.01698422477008421	0.101801521198297	0.10677745655280546	0.0414062791601566	-0.23592711740775485	0.08317488257566197	0.1748045198867203	0.010784590525640958	-1.9062392260806303e-08
4.53	-3.3956146677032085e-15	0.11677497754828892	0.07226804904180995	0.05024231925827394	-0.030439843951512557	0.030548271798267024	0.09666010336866293	0.05179022397948074	0.07680721563190218	0.15335990618950746	0.029256368702874624	0.05282991238581758	0.13455753832892015	0.003771587692540379	0.10103239472422842	0.10771177778011065	-0.003529995852062484	-0.2302887401579028	0.08760383416009176	0.18419200468092356	0.011551375212629722	-1.9032536716598542e-08
4.52	1.3527718211051702e-14	0.10084586841622922	0.08555958351914228	0.06045344990033641	-0.010915277513987576	0.033392088216800175	0.09363401791071624	0.057670766396029194	0.09058378353563512	0.19047302918798437	0.02846709711695894	0.035640159567947194	0.11844486231393603	-0.008395227724861343	0.09787847897686675	0.10707703329907758	-0.04834246939952891	-0.22204138220152458	0.08928030898272254	0.189808289316872	0.011994630484127189	-1.6734296234480787e-08
4.51	3.9736940046033055e-14	0.08286354253007744	0.1001776072957341	0.0701150640433923	0.008828291576293168	0.0379068610639024	0.08986670680778275	0.06269327568156768	0.10381173920751507	0.22518401690061296	0.02836592222686818	0.019359064374754098	0.1006045671965694	-0.01920077430614242	0.09241815095606398	0.10459118322089012	-0.09209193896194279	-0.21095877245096517	0.08842874476772522	0.19118101574029822	0.012084536792773992	-1.1470467345411641e-08
4.5	7.399821346578803e-14	0.06330502261556603	0.11556754005226821	0.07907887875668962	0.028273096633142814	0.04392792846559246	0.08512432439795248	0.06634187220237209	0.11616377992859839	0.25683843950864116	0.029201542996958096	0.004492213275085533	0.0812059541457586	-0.028368610981118536	0.08480315606527711	0.1000759996263696	-0.13381304095179303	-0.1969106168618282	0.08535861834411662	0.18794166474637564	0.011817553975395079	-2.5877141717984297e-09
4.49	1.1160559950331826e-13	0.04269692980672346	0.1311308943417373	0.0872423998963825	0.046949476174802385	0.05121338465085046	0.07917607704158058	0.06812656760689606	0.12734008786551954	0.28485013073415644	0.031182238986843913	-0.008497738245750952	0.06047075837508942	-0.0356719639141545	0.0752592976401445	0.093471436997703	-0.17255565041412524	-0.1798737777045858	0.08044301048943225	0.1798406503905028	0.011217073907641595	1.0438137627701559e-08
4.48	1.4326872568300261e-13	0.02159417201461622	0.14624487824863763	0.09454831008864062	0.06444575951880438	0.05945078282610439	0.07181269367200116	0.0676120300014702	0.13707803591782408	0.3087158329784643	0.0344551796275141	-0.019215797712064386	0.03867102688840873	-0.040942594902475093	0.0640825813672734	0.08484459907259634	-0.20742763601361958	-0.159939129683778	0.0740932705083992	0.1667578281400779	0.010332464904687644	2.7899072617590185e-08
4.47	1.5456345678707847e-13	0.0005539862481924729	0.16028519017956455	0.10098026198534171	0.08041536764818602	0.06826744584193989	0.06286531056724698	0.06444489041925294	0.14515938353886781	0.3280243965504326	0.039089099669524785	-0.02735507611097887	0.016128323887642182	-0.04407671101719757	0.05162852537824847	0.07439405797597942	-0.23763456885143341	-0.1373176007409711	0.06672954623894611	0.14870633423356594	0.00923660737917853	4.9738029724147834e-08
4.46	1.264878114305725e-13	-0.019888731104117596	0.17264855452825145	0.10655576929502786	0.09457951353908811	0.07724288731012052	0.05222309330082453	0.05837855441311035	0.1514152892237064	0.3424646657331323	0.04506142109195821	-0.032714803983509455	-0.006789969215219571	-0.04503907635097448	0.03829912858586226	0.062445855738133105	-0.26251841615831495	-0.11233671691849167	0.05875268505968734	0.12583325525403666	0.008021804546792133	7.542462168832735e-08
4.45	3.771694050124705e-14	-0.03923968148994561	0.18277216280108632	0.11131712566458418	0.10672465058607372	0.08592197953402092	0.03984801310025432	0.04929451254622563	0.155729537932217	0.35183546382387476	0.052250788502192336	-0.03521728521675982	-0.029680627159791584	-0.043866273580391635	0.02453135618173974	0.04943866032917299	-0.28159621769395926	-0.08542099729174879	0.05052229998364055	0.09842023392275223	0.006794121591351399	1.0383249539905846e-07
4.44	-1.3092528075644548e-13	-0.05706274474074746	0.1901533242811695	0.11532079166113363	0.11669779604366681	0.09383001773804267	0.025786292284834644	0.03721815237355486	0.1580391012402913	0.35605103162626506	0.060436415204264904	-0.03491796428852467	-0.05211445922284952	-0.040666690317834764	0.010781321895905194	0.035903209601059416	-0.2945899349141996	-0.057069240030386936	0.04233710171084226	0.06687902506797627	0.005666768264458888	1.3313005202974767e-07
4.43	-3.895231997046075e-13	-0.07299690414590998	0.19436911380128663	0.11862613966178515	0.12440070515907564	0.10048939918544875	0.01017568347725728	0.022327887732473073	0.1583320412847229	0.35514084755536146	0.06930467261770445	-0.03200712087405577	-0.07364501609632157	-0.03561680169158876	-0.0024959277532445867	0.022437454509258714	-0.30144466878778076	-0.027831741446107117	0.0344180416217057	0.03174147658901916	0.004752912313186641	1.6069867364733943e-07
4.42	-7.298945223804546e-13	-0.08676884918749295	0.19509362056001578	0.12128474837294334	0.12978260429429156	0.1054367048361371	-0.0067523577975237	0.004957130192565273	0.15664341621803146	0.34924648070685294	0.07846259104951514	-0.026804699059709947	-0.09381849903974171	-0.028954685986349205	-0.014867378524996866	0.009676590368513871	-0.3023364710472549	0.0017160309503765347	0.0268975638373945	-0.006353558904663714	0.004158192370356417	1.8309455626872919e-07
4.41	-1.1151629459921035e-12	-0.09820139862544863	0.1921125285648202	0.12333119928848646	0.13283253020165375	0.10823982754155281	-0.02467591774583866	-0.014411399038351647	0.15304948349563574	0.33861487032635296	0.08745773610553442	-0.019747705402949123	-0.11218399616575425	-0.020970697561153884	-0.02594330349052143	-0.001740060077651151	-0.29766816878020563	0.031000169876023165	0.019815035890701438	-0.04667651530957073	0.003973396152109565	1.9607145715660996e-07
4.4	-1.470002724754101e-12	-0.10721724783462605	0.18533428430757226	0.12477627109578293	0.13357194248285964	0.10851458930130775	-0.04319134582883066	-0.03515905271595443	0.14766068844701863	0.32358838192024564	0.09580338164710156	-0.011370646701749365	-0.12830397933623772	-0.011995657432208873	-0.03539744012209667	-0.011203727468767966	-0.28805314255248504	0.05947382978925475	0.013118729067770118	-0.08842602071078431	0.004267730535739034	1.94681846990969e-07
4.39	-1.6745176964275096e-12	-0.11383776621116226	0.17479716037135518	0.12560324880973894	0.13204816965466648	0.10594029948595107	-0.061827174111982686	-0.0565519796579963	0.14061397289668776	0.30459215462209954	0.10300748938942661	-0.0022799256129246714	-0.14176503849128608	-0.002387083402254575	-0.042984681867579866	-0.01817073158929361	-0.27428774219694674	0.08664001117693942	0.006674333095958218	-0.13074976174041808	0.005083088218712284	1.7347284419321613e-07
4.38	-1.5656496176943248e-12	-0.11817686766406155	0.1606716487668507	0.12576781787308278	0.12832913116935174	0.1002737396964335	-0.08006262191270253	-0.07776845046836911	0.13206493985521206	0.2821193428271158	0.10860369094001499	0.006876523961807379	-0.1521888039371504	0.007485892823069662	-0.04855498961771332	-0.022195083181571817	-0.25731368746613725	0.1120702987644222	0.00027955685627034654	-0.17276663814379845	0.006429673864037255	1.2679065421019215e-07
4.37	-9.505513862823597e-13	-0.12043036557292908	0.1432578309457142	0.12520171429798665	0.12249966760828102	0.091361125066868	-0.09734976399511197	-0.09793171291318004	0.12218036221119633	0.256714830516529	0.11218227566854466	0.015442845719434217	-0.15924288115979834	0.017258204517247577	-0.05206251950042429	-0.022957315761033215	-0.2381723126062525	0.1354183245986178	-0.0063161119718699865	-0.21358962348452337	0.008283293717815887	4.920284201760222e-08
