
[SpecTaroscoPy — PES image]
Author	R Nakazawa
Contact	nakazawa@ims.ac.jp
Version	6.5.0
--- Info ---
User	
Load File Path	/Users/ryotaro/Documents/実験データ/SpecTaroscoPy/SpecTaroscoPy/examples/DA30/Si0006.txt
Save File Path	/Users/ryotaro/Documents/実験データ/SpecTaroscoPy/SpecTaroscoPy/examples/DA30/STPy_6_5_0_PESImage/Si0006_EDCs_EF.txt
Total Actual Scans	10
X Label	Binding Energy (eV)
Y Label	$k_{\parallel} \ \mathrm{(\AA^{-1})}$
Z Label	Intensity (cps)
X Min	-0.11
X Max	4.89
X Step	0.01
Ek Offset	0.0
Y Min	-0.626041
Y Max	0.605373
Y Step	0.001774
Ang or Posi Offset	0.0
MCP Function Path	None
--- Axis Conversion ---
Photon Energy	None
Applied Voltage	0.0
kinetic Energy at Fermi Level	16.89
Secondary Electron Cutoff	None
--- EDCs Stacking ---
Y Slice Center	0.576983 0.521978 0.466972 0.411967 0.356961 0.3019555 0.24695 0.191944 0.136939 0.081933 0.026928 -0.028078 -0.083083 -0.138089 -0.193094 -0.2481 -0.303105 -0.358111 -0.4131165 -0.468122 -0.523128 -0.578133
Z Offset EDCs	0.0 -400.0 -800.0 -1200.0 -1600.0 -2000.0 -2400.0 -2800.0 -3200.0 -3600.0 -4000.0 -4400.0 -4800.0 -5200.0 -5600.0 -6000.0 -6400.0 -6800.0 -7200.0 -7600.0 -8000.0 -8400.0
 
DATA:
EF_Si0006_EDCs	Si0006_EDCs_0.577	Si0006_EDCs_0.522	Si0006_EDCs_0.467	Si0006_EDCs_0.412	Si0006_EDCs_0.357	Si0006_EDCs_0.302	Si0006_EDCs_0.247	Si0006_EDCs_0.192	Si0006_EDCs_0.137	Si0006_EDCs_0.082	Si0006_EDCs_0.027	Si0006_EDCs_-0.028	Si0006_EDCs_-0.083	Si0006_EDCs_-0.138	Si0006_EDCs_-0.193	Si0006_EDCs_-0.248	Si0006_EDCs_-0.303	Si0006_EDCs_-0.358	Si0006_EDCs_-0.413	Si0006_EDCs_-0.468	Si0006_EDCs_-0.523	Si0006_EDCs_-0.578
4.66	0.0	221.3489975897416	622.2366418247676	668.8791749174466	647.0708640503161	626.1255357544077	610.1304038369638	651.6373908233635	658.4794533905892	667.1440147897363	627.5489824336726	561.5162408959204	571.3526459154812	621.0134851883649	629.6942982586489	649.6106114385838	661.186125025444	781.3905945367324	728.3557819744759	466.6375138123285	7.7140271211422995	0.0
4.65	0.0	214.50113561242125	604.4665486928095	662.931524377423	664.0116938295956	658.0618694415724	671.077028971811	668.6874222129908	674.942697958701	602.056561486618	582.6846943963493	615.0622476063209	573.346404942768	633.3841408284195	642.9718310710193	647.8791952658116	663.0740066329012	729.4661861384727	754.243653324912	493.9028404095002	14.40750629150238	0.0
4.64	0.0	241.6267833807589	611.4223101669929	639.3583920958444	651.3703979172385	666.7084544911642	650.1481544403408	644.1295895031737	640.8394464636837	672.4782951859816	598.598841516387	623.822650426926	626.5671493728224	634.5211524647323	643.0724848448434	662.158020468689	668.9934476913983	710.5428232769956	739.6653259353461	516.6667907103646	19.40560700907412	0.0
4.63	0.0	231.27645328396022	605.2761612966976	633.4179191294768	622.6864491247849	656.0942163957386	608.7851804692308	674.8305722883415	648.8118010566786	636.6777201420538	580.2747663004716	613.1837496295598	603.6149427233797	625.2634717923377	669.7979075856593	670.8202439356775	658.0541950661205	740.5898953426562	745.6634359887889	498.6001140564883	13.119527817708525	0.0
4.62	0.0	245.43419411809532	614.1146034947884	648.2690456275315	644.241663127204	682.9292751690447	666.9134701522471	655.8450163659185	694.5344549420759	660.8279216056648	571.7848369064702	645.327553996845	602.9626577650715	637.4552318490985	653.7992270471285	636.0502493375404	677.3227678482033	792.7329046432993	738.7360822352664	455.638979006537	5.985538338516522	0.0
4.61	0.0	226.34113327530017	575.6060328553024	638.7600621864538	702.3627213740082	631.4950471006675	651.5583402757916	723.0057776589294	654.3598741952875	629.048528587649	658.2359672571497	575.3020651828529	559.9792659024735	677.0557291343856	677.4558700989484	655.8802329422512	695.1487593234464	782.7247163773808	707.9002370086743	462.16687753649114	12.7744839011315	0.0
4.6	0.0	234.52221600721555	577.5706819321424	620.1386169412453	700.2473026916596	665.9662693366636	630.7902371425465	704.4429550666355	645.4446702213728	638.5708173954812	635.1210820636963	606.6217871767647	612.073008914046	623.2656111609498	701.9626992490388	643.4654049044191	683.8619833118318	746.1907884745234	680.5304532372646	486.0848066085054	13.948807886471881	0.0
4.59	0.0	242.7033731330837	633.3147935917874	587.8919644101832	611.7864454310297	650.9202657463504	656.1973740588405	651.9682025926684	684.437500765401	622.8050916129996	633.4585857046459	616.5281017626338	621.5105784322583	643.2194505325671	630.413557971254	670.9612388874756	673.3078001666224	792.4196222864524	700.7966618292415	497.4456787186946	12.233476119998727	0.0
4.58	0.0	255.83636159297254	625.9706862871802	640.3293128519573	624.924101257844	688.309075876886	641.274522983826	697.1331193345427	675.1860782705355	576.9144110809539	538.2159121673677	618.2378808030951	673.5135354425727	621.2065236162449	712.5731526312551	720.2343579174826	694.0498266591648	773.1085322983112	717.0889843043304	488.9301879107246	9.245146891589489	0.0
4.57	0.0	265.4114404913233	662.4984725703761	690.7878832974725	670.761157148696	614.8228538745763	675.9460058199983	632.7018684032427	663.651668086389	664.6146715437408	570.4351349607017	576.3106409245245	556.3310797952373	674.2327386026975	698.7128874969887	681.2578707882342	702.818818603841	779.707625496749	746.1238304425275	516.058225752129	14.962734004398671	0.0
4.56	0.0	249.85547808833684	649.2708650174422	656.9410974293896	632.8164937351854	653.7144607837237	637.1024927370131	670.6982064253282	703.4577167934958	627.6421760633156	621.1724016773475	593.6217768551627	625.7414935285485	670.0196764695404	632.7039613825513	659.7647013351894	778.4582510885549	773.7033810192304	706.7248125758315	462.5582954903854	15.584461725687845	0.0
4.55	0.0	255.63350785784223	631.1051190797219	607.4646491521887	625.1658475753181	625.2291432376244	717.7373277201553	726.4611361093373	671.7076604048996	633.7151305135576	621.3355569446225	617.1403206406585	646.4020118130921	663.4830430046076	672.6877215023475	674.2325788191246	720.468718058752	744.2870280929759	747.7198388023351	519.9743684216158	12.006958471687375	0.0
4.54	0.0	236.96791408184777	550.790873583531	614.1209102834175	663.258000728431	645.2185805147005	682.4394776810349	678.1495848575526	678.1138513171112	672.2118973859627	593.0867174577553	599.3188669616683	622.5685260206154	630.7177067121438	674.5544319804259	666.6303929230276	692.5087675808861	725.5001594932876	763.8141800265614	464.57411828776185	8.274710637142245	0.0
4.53	0.0	259.0562596759626	643.5270165653297	631.0633127202925	664.571399731072	661.0409497303294	670.9240978850536	666.83656066294	639.0028976996629	623.8875333833893	670.5754803983597	615.6718174797854	613.2176609320243	632.3530524957152	661.1876524599218	658.6438760320202	688.795044561439	783.031356042892	753.0183848944282	498.44317674463326	7.95986201042132	0.0
4.52	0.0	257.77844361447376	622.6182382470147	606.9617907874249	662.6904907602592	626.6317232071401	700.7573292072755	712.2970389165629	666.4625250541951	599.5685849508825	594.8885876617845	592.3857580743947	560.2981909741103	645.0392580885319	655.1542510614889	705.2008219840014	706.0032478336129	830.0822036552933	728.6058446469785	516.5265252561724	12.057835010917007	0.0
4.51	0.0	280.2302427861578	640.5388060900642	621.2778560926394	655.6765499093035	724.3730443629444	655.0611116726029	665.6488193453953	700.7271163370941	646.2945710915089	646.2496325829213	615.0584178858434	603.8745938075832	605.6842201655911	680.2624234422511	709.1260045342398	711.7373268630915	777.4552204879955	685.1585639186512	533.0432086954179	13.762740622496809	0.0
4.5	0.0	310.51133039724914	704.3486748784237	646.3366623571955	647.6448577253525	669.7762069899514	657.1367486980704	683.1824175004022	658.4546588015678	619.4877068399458	613.2997182650454	633.5425953220042	617.1108709548398	638.3803813459502	657.2831904062543	701.8771833775713	779.8174213088122	780.9713938049488	707.9299068501111	483.0663241288361	9.753894370645629	0.0
4.49	0.0	310.94829499529413	676.4666596428503	654.7299190959418	701.847219331941	692.7175719254717	669.463915695386	732.3596963438446	676.2046481530557	614.1739583255752	614.1378686244893	586.0625535698091	583.7598172264209	672.2278831557925	647.2554284813154	670.0918757953942	801.317760142148	801.0107157817074	722.356189398028	528.5104384675394	16.167087396257834	0.0
4.48	0.0	276.63511201046333	668.7306967658884	645.448224617654	608.3908551453368	657.6856868823862	669.8525294047671	618.8084660370862	614.3261784287351	594.5410293126996	595.8958015139982	657.1495132119817	628.5387140144778	626.2365002978817	678.2961525917952	664.0312930314004	767.1638441476339	785.1594208456454	712.0645773133093	501.5524642753456	19.917690435544042	0.0
4.47	0.0	299.102254822515	622.1977520733608	646.8566909929175	690.6931710416605	641.0643556785991	690.6691076186968	673.3215631490046	670.0375805136043	652.3912208494804	623.302520389256	604.9637711519235	644.237332772436	636.1994067335756	650.0184463433392	699.9998228912941	782.474610307852	768.1786908270346	724.9781778972317	508.22856624746777	19.826810415721397	0.0
4.46	0.0	298.60041785178856	654.1915378191088	597.7193571930202	605.0103545012355	641.2435547673097	654.5231041906827	698.9499440724259	619.0877809183479	627.5329975177384	665.8372842558812	667.0533798549254	649.5692819494556	724.9725919312198	678.4722117782076	682.165979391992	793.6878963171224	788.8993966016939	702.1593553375216	565.5484548820153	21.396751670951453	0.0
4.45	0.0	307.14766730834765	576.7327677339422	633.1740683273158	622.489737540493	643.2504626703507	696.7053359716873	702.4836275830693	688.6682551597122	621.238101684367	661.7396086069476	644.3877683101591	672.3478616225698	656.6302547566845	647.2372913305763	677.7988835820456	775.9524750378054	728.8606990409534	775.2822738808891	485.69989594554875	14.160214168338754	0.0
4.44	0.0	321.80386799921916	632.5336101134983	646.3729110126569	651.312447245104	690.8146678452849	668.8848435047342	704.2467680442734	719.5239600971631	670.0856012303138	621.4788443999771	703.937082578354	631.3904535175393	654.3967059854139	705.4319774033152	659.2715624031754	791.870104075513	767.6232587789211	739.6617361408375	550.6764954579731	16.584129483987592	0.0
4.43	0.0	315.35614866301756	679.6334240540277	650.6471126342666	701.947198824209	702.8002601169237	663.5575912254334	717.7850868278316	641.1405722534926	601.9489370994113	581.1274543382016	650.50734167054	662.8469331772985	717.1709083180166	706.4518035540882	711.8625219828226	815.8159746668339	720.5529588326419	710.3142073742641	543.4065765385624	19.220512922132315	0.0
4.42	0.0	346.4087120597141	612.7752522869469	641.3415356487184	648.7883384554993	650.7590110137513	661.0443060338155	686.7211713269862	663.7491880794396	570.134251740519	658.7330162076694	673.1612230568076	689.7557589444665	685.2869534861323	726.8990966977248	764.006522437528	786.7331131227772	735.77657691258	801.5093976130514	599.1982425157152	12.00147271119254	0.0
4.41	0.0	302.2277136303773	668.3535946604261	645.15179466939	662.249463290035	642.8443953868028	658.492497997262	759.1032903853261	668.9017108072428	613.0829724098215	653.3597957286063	614.3772668997659	643.5446613825457	662.0146094072884	703.6033023311458	696.1428092326504	796.8897846085003	752.2008238458228	725.9780783045552	594.4564077740623	19.378996343446598	0.0
4.4	0.0	353.727001032686	664.9668453349263	633.8883424089979	672.7073143158144	644.4427263681267	666.5574736962803	698.03630405497	714.1364792927375	619.4300607612943	617.830630766699	617.178696322071	652.9180183109106	659.0531342854641	726.2240209693614	733.8974381863048	810.151334026409	728.9134895192587	711.5380474367912	548.9720962183759	18.907081825937304	0.0
4.39	0.0	346.38624754614034	665.1779683092255	654.8272968917325	656.7931906622928	716.6458368553787	714.346548943484	675.6224852090529	692.6795714674532	636.2398760727916	641.6905169955451	643.4140102356404	621.0772749951823	688.9623268265858	715.7249087246569	736.4172435991574	783.2297958561978	762.4019885105832	750.4267565348197	583.9177619742775	17.84341060383646	0.0
4.38	0.0	362.9228216496613	716.0287131846517	678.8208033163085	649.195091467879	664.3931906026259	784.2574206199005	688.1476028251305	735.5451591446172	653.9105899916017	634.4594543367735	642.6051666142525	639.5406678144165	659.1829151577833	711.4387448896849	730.0151817633298	837.7886102975765	763.6942325069455	735.3376938012946	514.9417154806433	18.23138427563833	0.0
4.37	0.0	383.58879395783714	677.6354341495639	643.9940550046821	627.8259189238329	691.2659185390397	750.2351837390684	748.4189538988522	708.5079919143888	649.013070433218	616.5211033133402	637.1989916112756	654.1710185619197	692.561717688761	687.6003117103465	726.87135398919	875.2997764895534	784.4465838595291	768.2923473926421	558.2004152485806	30.585673051484918	0.0
4.36	0.0	357.30518465847825	742.0006917637146	661.80206454567	633.6711207325353	694.2911005872356	753.7864248175886	701.5007727158915	692.471126416904	671.4938153341016	647.7980206707667	650.2528598662514	620.5322286484795	684.6709137791985	731.7583599307173	719.6630226044555	827.4882464708414	779.1763607685679	775.8061761811595	574.5967978451084	20.874379102542562	0.0
4.35	0.0	354.45204315682207	690.3602458604104	641.9697127908005	672.9124842249057	716.7581242997426	701.0691085358263	726.9219660938815	726.4556075526855	653.4320550886055	562.8626548078032	644.7180604143131	673.5861685471206	616.2474720838816	668.1822760281614	707.0577230947989	828.3222914641361	690.1114798366098	722.855772330081	581.7816653801482	27.305880100763794	0.0
4.34	0.0	330.61450992297847	667.4178092662409	689.1809577202206	683.0828799136832	670.3426961115639	715.0665558543674	757.0600911832272	694.9777780413899	649.3339925384176	664.6735555957143	612.0629112494107	650.9936173028249	620.1269624029587	705.5894287698887	729.3929876994383	856.1083878237517	688.136987123243	743.4563503627573	593.2998180184886	19.204212984983343	0.0
4.33	0.0	416.1187191279111	708.8650976889629	698.4897582978441	642.6262956499664	716.051878760816	764.0961106291625	733.9398586601552	666.0863504736678	681.1092594599232	638.7204205699411	671.8519962586065	636.6509629058901	651.3451102478904	740.6873814047699	758.5791104263433	791.4184746336318	725.1380852492891	713.4533529255924	684.3907701709179	29.122224281698458	0.0
4.32	0.0	406.9591250888435	727.1672574266911	638.956484674865	676.4674214157352	712.5178443335456	671.0912995817303	715.3979131954214	684.1383726552699	674.6628897750271	645.8690673858722	626.771086241225	720.2807209286245	679.9141780992678	736.0340738151343	734.5284404472199	743.9401217262996	728.2169174700716	689.2394419775346	645.8096644618548	27.49133841105794	0.0
4.31	0.0	374.7226029661771	754.9168003185168	637.8497108530535	663.6017050992069	645.6050839000116	709.2153332626656	730.890755587932	722.7534743547601	678.6141829331041	656.3599536078359	625.9383461546049	628.5432783674379	700.1100478468315	702.952021685774	766.4931016163656	763.1294501845659	744.7085445656033	731.527810466447	629.4517709843685	22.41882255579558	0.0
4.3	0.0	312.81772966034737	673.3925440466293	694.244818901936	674.240718020403	697.3311420441752	682.2487291227686	732.0162964503868	708.429007528638	729.2682873723935	659.8517095973616	640.2645183689978	671.5889568058553	696.2545029697548	755.7980997779972	767.0072212410304	774.8963589027629	737.9122973099024	718.3784533809653	580.960972476574	9.936443287929675	0.0
4.29	0.0	357.0349649015575	703.2297028744402	644.0221860024562	686.2387404211792	678.2663484516736	735.7380504313386	721.1882061665476	709.7759582466807	716.2110244564155	656.8473225449928	641.2633338662367	662.2201832460609	664.5239312352438	723.3310455775771	760.6313032335779	793.7718703686421	757.8254642355661	749.7296235613916	631.2580770419976	23.803949524719854	0.0
4.28	0.0	359.24413125864527	700.8651248494375	646.1992948693354	699.6064464372233	703.4488309880888	721.398396275573	765.3668809969487	736.9313677767218	681.7300380171495	635.1001981744489	641.9920791457515	681.4710775396851	734.1327473528537	696.6790425644434	748.6798554139014	826.2705099228526	780.7421501712377	783.9988122887975	571.4106236973927	27.312240426937038	0.0
4.27	0.0	368.0212311184254	760.9711056415401	694.3041592576621	710.3518749852911	752.3448572028574	732.3838558672247	829.7830913792726	699.3576382573202	699.6916458427681	658.9903819619188	677.7254290233078	662.5949789602571	712.9329117493455	721.81404799753	742.2969840445049	805.8828321164234	753.5910231841751	697.9413099806362	628.5856397718335	28.29594741138495	0.0
4.26	0.0	387.7613772022321	750.4806496107261	635.9004069877619	664.0113620893503	684.5102614091938	719.9648008761575	719.3289059986513	739.2242423212381	672.3987427226452	650.8038768650582	642.292144367561	659.3104235747207	681.9313860851692	676.744654428673	775.403659726283	869.1798105778274	724.5855032808266	785.0860563918341	569.4704386027379	26.871032776384077	0.0
4.25	0.0	387.2272113482146	733.4305669619278	674.5031392299203	655.5298209704839	725.7773815874059	760.164752087005	728.1854315735069	728.2110998296604	695.9036411449489	687.214772629443	720.9343325037341	672.4822406633526	672.5846244809915	691.9251633028778	791.6545530326857	821.1509110355668	723.1532656315921	762.3162384475538	620.6291645621868	27.132961087424153	0.0
4.24	0.0	425.9443406128354	745.932904525472	692.9058529287562	677.0097844553411	722.7010557458909	774.6611816153281	697.2669582502327	707.0747765109846	684.6689211801729	656.5697218310987	714.0548655724374	657.8347817361001	646.6773685532025	727.7462140361956	717.2546068305987	842.169824798773	740.5108730662264	756.7648520084205	592.3858090757345	17.651860624129355	0.0
4.23	0.0	420.99023656674814	763.435138925658	735.475950873905	650.0978404173443	706.6541012751686	733.264275834633	730.7940319999562	730.8755128509438	691.6160835294097	675.1098589427969	725.6549097775196	683.3486524050492	705.1341046889542	741.1881609665496	715.3908761830951	853.8520123144491	746.3944098420021	764.0827857080532	610.1950714524585	25.98166044273063	0.0
4.22	0.0	416.83370597669375	763.9809752030955	649.4512733510428	678.9957391767432	776.371094845733	741.0292044782791	704.135477566228	771.3418359735725	755.4613098108777	696.5454647067046	663.0886309051402	669.4538984077035	711.6659641237452	737.194987496231	766.7985748409324	853.8780833771461	768.8491177075313	719.9934365425237	587.0227686867306	31.827165722158774	0.0
4.21	0.0	399.8470935683962	801.441003787456	706.8246996614942	670.7101001375236	729.5104909057579	721.2205467929999	740.502652466265	750.2197319322679	691.7371007942808	682.6741934804438	686.5747919044442	660.1272664157161	681.9420078842059	737.4778012935648	764.6927156582404	861.5334703039191	735.1028256736336	728.9084843156127	624.7990842750795	33.9823288361967	0.0
